"","Year","district","flat_type","avg_price_per_sqm"
"125",1991,"D5","EXEC",1492.36342746245
"126",1992,"D1","2-RM",678.678676793293
"127",1992,"D1","3-RM",1063.50217189079
"128",1992,"D1","4-RM",1353.54450247687
"129",1992,"D10","3-RM",884.698059480379
"130",1992,"D10","4-RM",1129.85142198625
"131",1992,"D10","5-RM",1525.74525745257
"132",1992,"D10","EXEC",2112.67605633803
"133",1992,"D12","2-RM",475.990172189734
"134",1992,"D12","3-RM",708.052050041567
"135",1992,"D12","4-RM",1095.5343699889
"136",1992,"D12","5-RM",1373.64451159148
"137",1992,"D12","EXEC",1644.99377511493
"138",1992,"D14","2-RM",489.817943842428
"139",1992,"D14","3-RM",726.31921238522
"140",1992,"D14","4-RM",1188.82561425207
"141",1992,"D14","5-RM",1458.62096637369
"142",1992,"D14","EXEC",1671.1489542692
"143",1992,"D16","2-RM",618.058164442248
"144",1992,"D16","3-RM",709.308885413929
"145",1992,"D16","4-RM",932.987460709484
"146",1992,"D16","5-RM",1214.48839664048
"147",1992,"D16","EXEC",1447.43185653673
"148",1992,"D18","3-RM",751.805364060046
"149",1992,"D18","4-RM",940.735901463162
"150",1992,"D18","5-RM",1157.54972156431
"151",1992,"D18","EXEC",1394.84857739624
"152",1992,"D19","3-RM",693.863871627147
"153",1992,"D19","4-RM",903.376940889077
"154",1992,"D19","5-RM",1158.95880158663
"155",1992,"D19","EXEC",1424.07661041365
"156",1992,"D20","1-RM",323.387096774194
"157",1992,"D20","2-RM",611.111111111111
"158",1992,"D20","3-RM",705.628286574491
"159",1992,"D20","4-RM",1035.15973459322
"160",1992,"D20","5-RM",1517.65922734923
"161",1992,"D20","EXEC",1821.81609476212
"162",1992,"D22","3-RM",566.855931485124
"163",1992,"D22","4-RM",883.257639791924
"164",1992,"D22","5-RM",1074.26083925406
"165",1992,"D22","EXEC",1297.892636845
"166",1992,"D23","3-RM",712.92176848052
"167",1992,"D23","4-RM",891.624494554817
"168",1992,"D23","5-RM",1170.95555322459
"169",1992,"D23","EXEC",1353.74785632971
"170",1992,"D24","3-RM",409.830508474576
"171",1992,"D24","4-RM",421.686746987952
"172",1992,"D25","3-RM",503.798924034454
"173",1992,"D25","4-RM",679.633756061391
"174",1992,"D25","5-RM",837.470031699616
"175",1992,"D25","EXEC",1228.16493518433
"176",1992,"D27","3-RM",669.84235507558
"177",1992,"D27","4-RM",796.916706962984
"178",1992,"D27","5-RM",1056.24076095174
"179",1992,"D27","EXEC",1328.67374424552
"180",1992,"D3","1-RM",323.343719533931
"181",1992,"D3","2-RM",425.029231890712
"182",1992,"D3","3-RM",706.388299721186
"183",1992,"D3","4-RM",1217.70958511545
"184",1992,"D3","5-RM",1523.56415673032
"185",1992,"D5","3-RM",743.907696607371
"186",1992,"D5","4-RM",1038.10048828208
"187",1992,"D5","5-RM",1388.15278539013
"188",1992,"D5","EXEC",1528.68345432965
"189",1993,"D1","2-RM",982.222676580581
"190",1993,"D1","3-RM",1412.95785319811
"191",1993,"D1","4-RM",2011.455706658
"192",1993,"D1","5-RM",2284.97202238209
"193",1993,"D10","3-RM",1161.95251746619
"194",1993,"D10","4-RM",1604.54971558856
"195",1993,"D10","5-RM",2031.88740827199
"196",1993,"D10","EXEC",2482.23971900246
"197",1993,"D12","2-RM",860.328562634657
"198",1993,"D12","3-RM",1068.11212994219
"199",1993,"D12","4-RM",1544.64546697226
"200",1993,"D12","5-RM",1995.40825795131
"201",1993,"D12","EXEC",2107.87795886101
"202",1993,"D14","2-RM",729.86223514906
"203",1993,"D14","3-RM",1052.8102717389
"204",1993,"D14","4-RM",1549.87770944923
"205",1993,"D14","5-RM",1977.57849950909
"206",1993,"D14","EXEC",2132.41895871051
"207",1993,"D16","2-RM",884.121092637728
"208",1993,"D16","3-RM",1050.71769863111
"209",1993,"D16","4-RM",1405.66877880817
"210",1993,"D16","5-RM",1889.79605743695
"211",1993,"D16","EXEC",2051.87409288795
"212",1993,"D18","3-RM",1043.31916253475
"213",1993,"D18","4-RM",1352.67270326098
"214",1993,"D18","5-RM",1728.05971754485
"215",1993,"D18","EXEC",2081.13355817438
"216",1993,"D19","3-RM",1011.77966424741
"217",1993,"D19","4-RM",1381.59813396291
"218",1993,"D19","5-RM",1751.78950715545
"219",1993,"D19","EXEC",2029.98069368947
"220",1993,"D20","1-RM",708.064516129032
"221",1993,"D20","2-RM",830.15873015873
"222",1993,"D20","3-RM",1084.35954549582
"223",1993,"D20","4-RM",1677.57670087631
"224",1993,"D20","5-RM",2188.84776303556
"225",1993,"D20","EXEC",2319.88759591829
"226",1993,"D22","3-RM",840.831069460378
"227",1993,"D22","4-RM",1300.40945688699
"228",1993,"D22","5-RM",1607.28550293824
"229",1993,"D22","EXEC",1734.27781528791
"230",1993,"D23","3-RM",1032.267156403
"231",1993,"D23","4-RM",1330.2724634272
"232",1993,"D23","5-RM",1680.05947003234
"233",1993,"D23","EXEC",1937.62507930105
"234",1993,"D24","4-RM",683.734939759036
"235",1993,"D25","3-RM",738.943725718183
"236",1993,"D25","4-RM",1041.58970994422
"237",1993,"D25","5-RM",1279.98887091001
"238",1993,"D25","EXEC",1715.27498387809
"239",1993,"D27","3-RM",1039.53463230921
"240",1993,"D27","4-RM",1327.80494103278
"241",1993,"D27","5-RM",1673.46484113696
"242",1993,"D27","EXEC",1961.04578494554
"243",1993,"D3","1-RM",554.611227138241
