Project Name,Street Name,Type,District.,Market Segment,Tenure.,Asking.,Floor.Description,Date.,Area.Builtup,PSF.
H2O RESIDENCES,FERNVALE LINK,Condominium,D28,OCR,99 yrs lease commencing from 2010,1365000,21 to 25,2021-11,1130,1208
NORTH PARK RESIDENCES,YISHUN CENTRAL 1,Apartment,D27,OCR,99 yrs lease commencing from 2015,1160000,06 to 10,2021-11,700,1658
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,Condominium,D28,OCR,99 yrs lease commencing from 1997,1080000,01 to 05,2021-11,1302,829
MEADOWS @ PEIRCE,UPPER THOMSON ROAD,Condominium,D26,OCR,Freehold,888000,06 to 10,2021-11,635,1398
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,Condominium,D28,OCR,99 yrs lease commencing from 1997,1050000,01 to 05,2021-11,1302,806
EIGHT COURTYARDS,CANBERRA DRIVE,Condominium,D27,OCR,99 yrs lease commencing from 2010,950000,01 to 05,2021-11,958,992
EIGHT COURTYARDS,CANBERRA DRIVE,Condominium,D27,OCR,99 yrs lease commencing from 2010,1570000,11 to 15,2021-11,1572,999
SYMPHONY SUITES,YISHUN CLOSE,Condominium,D27,OCR,99 yrs lease commencing from 2014,1051000,06 to 10,2021-11,915,1149
THE NAUTICAL,JALAN SENDUDOK,Condominium,D27,OCR,99 yrs lease commencing from 2011,780000,01 to 05,2021-10,764,1021
HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,D28,OCR,99 yrs lease commencing from 2014,777000,11 to 15,2021-10,592,1312
SUNRISE GARDENS,SUNRISE AVENUE,Condominium,D28,OCR,99 yrs lease commencing from 1995,950000,01 to 05,2021-10,1216,781
CASTLE GREEN,YIO CHU KANG ROAD,Condominium,D26,OCR,99 yrs lease commencing from 1993,1180000,01 to 05,2021-10,1216,970
NINE RESIDENCES,YISHUN AVENUE 9,Apartment,D27,OCR,99 yrs lease commencing from 2013,810000,06 to 10,2021-10,710,1140
SELETAR PARK RESIDENCE,SELETAR ROAD,Condominium,D28,OCR,99 yrs lease commencing from 2011,1370000,01 to 05,2021-10,1442,950
ROOTS @ TRANSIT,TRANSIT ROAD,Apartment,D26,OCR,99 yrs lease commencing from 2014,852800,01 to 05,2021-10,667,1278
H2O RESIDENCES,FERNVALE LINK,Condominium,D28,OCR,99 yrs lease commencing from 2010,1440000,16 to 20,2021-10,1195,1205
THE MILTONIA RESIDENCES,MILTONIA CLOSE,Condominium,D27,OCR,99 yrs lease commencing from 2010,816888,01 to 05,2021-10,840,973
