Project Name,Street Name,Type,District.,Market Segment,Tenure.,Asking.,Floor.Description,Date.,Area.Builtup,PSF.
SKYPARK RESIDENCES,SEMBAWANG CRESCENT,Executive Condominium,D27,OCR,99 yrs lease commencing from 2013,1378000,11 to 15,2022-06,1141,1208
SKYPARK RESIDENCES,SEMBAWANG CRESCENT,Executive Condominium,D27,OCR,99 yrs lease commencing from 2013,1710000,01 to 05,2022-06,1593,1073
SKYPARK RESIDENCES,SEMBAWANG CRESCENT,Executive Condominium,D27,OCR,99 yrs lease commencing from 2013,1333800,11 to 15,2022-06,1141,1169
1 CANBERRA,CANBERRA DRIVE,Executive Condominium,D27,OCR,99 yrs lease commencing from 2012,1145000,06 to 10,2022-06,1055,1085
THE TOPIARY,FERNVALE LANE,Executive Condominium,D28,OCR,99 yrs lease commencing from 2012,1423000,01 to 05,2022-06,1367,1041
THE TOPIARY,FERNVALE LANE,Executive Condominium,D28,OCR,99 yrs lease commencing from 2012,1168000,16 to 20,2022-06,915,1277
LUSH ACRES,FERNVALE CLOSE,Executive Condominium,D28,OCR,99 yrs lease commencing from 2013,1700000,16 to 20,2022-06,1356,1253
LILYDALE,YISHUN AVENUE 6,Executive Condominium,D27,OCR,99 yrs lease commencing from 2000,920000,01 to 05,2022-06,1195,770
THE TOPIARY,FERNVALE LANE,Executive Condominium,D28,OCR,99 yrs lease commencing from 2012,1380000,01 to 05,2022-06,1335,1034
THE TOPIARY,FERNVALE LANE,Executive Condominium,D28,OCR,99 yrs lease commencing from 2012,1568000,06 to 10,2022-05,1335,1175
THE TOPIARY,FERNVALE LANE,Executive Condominium,D28,OCR,99 yrs lease commencing from 2012,1395000,06 to 10,2022-05,1238,1127
THE TOPIARY,FERNVALE LANE,Executive Condominium,D28,OCR,99 yrs lease commencing from 2012,1128888,16 to 20,2022-05,904,1249
SKYPARK RESIDENCES,SEMBAWANG CRESCENT,Executive Condominium,D27,OCR,99 yrs lease commencing from 2013,1960000,11 to 15,2022-05,1593,1230
PARC LIFE,SEMBAWANG CRESCENT,Executive Condominium,D27,OCR,99 yrs lease commencing from 2014,1180000,01 to 05,2022-05,1066,1107
SKYPARK RESIDENCES,SEMBAWANG CRESCENT,Executive Condominium,D27,OCR,99 yrs lease commencing from 2013,2088000,06 to 10,2022-05,1722,1212
THE TOPIARY,FERNVALE LANE,Executive Condominium,D28,OCR,99 yrs lease commencing from 2012,1200000,16 to 20,2022-05,1087,1104
SKYPARK RESIDENCES,SEMBAWANG CRESCENT,Executive Condominium,D27,OCR,99 yrs lease commencing from 2013,1536888,06 to 10,2022-05,1302,1180
LILYDALE,YISHUN AVENUE 6,Executive Condominium,D27,OCR,99 yrs lease commencing from 2000,1060000,11 to 15,2022-05,1195,887
LILYDALE,YISHUN AVENUE 6,Executive Condominium,D27,OCR,99 yrs lease commencing from 2000,989000,11 to 15,2022-05,1195,828
THE CANOPY,YISHUN AVENUE 11,Executive Condominium,D27,OCR,99 yrs lease commencing from 2010,1180000,01 to 05,2022-05,1270,929
LILYDALE,YISHUN AVENUE 6,Executive Condominium,D27,OCR,99 yrs lease commencing from 2000,920000,01 to 05,2022-05,1206,763
THE TOPIARY,FERNVALE LANE,Executive Condominium,D28,OCR,99 yrs lease commencing from 2012,1496888,16 to 20,2022-05,1292,1159
THE TOPIARY,FERNVALE LANE,Executive Condominium,D28,OCR,99 yrs lease commencing from 2012,1610000,11 to 15,2022-05,1335,1206
LUSH ACRES,FERNVALE CLOSE,Executive Condominium,D28,OCR,99 yrs lease commencing from 2013,1088000,16 to 20,2022-05,915,1189
LUSH ACRES,FERNVALE CLOSE,Executive Condominium,D28,OCR,99 yrs lease commencing from 2013,1580000,16 to 20,2022-05,1238,1276
THE TOPIARY,FERNVALE LANE,Executive Condominium,D28,OCR,99 yrs lease commencing from 2012,1480000,01 to 05,2022-05,1367,1083
