"","Year","Quarter","town","flat_type","median_rent"
"1","2005","Q2","ANG MO KIO","1-RM",NA
"2","2005","Q2","ANG MO KIO","2-RM",NA
"3","2005","Q2","ANG MO KIO","3-RM",800
"4","2005","Q2","ANG MO KIO","4-RM",950
"5","2005","Q2","ANG MO KIO","5-RM",NA
"6","2005","Q2","ANG MO KIO","EXEC",NA
"7","2005","Q2","BEDOK","1-RM",NA
"8","2005","Q2","BEDOK","2-RM",NA
"9","2005","Q2","BEDOK","3-RM",800
"10","2005","Q2","BEDOK","4-RM",900
"11","2005","Q2","BEDOK","5-RM",1025
"12","2005","Q2","BEDOK","EXEC",NA
"13","2005","Q2","BISHAN","1-RM",NA
"14","2005","Q2","BISHAN","2-RM",NA
"15","2005","Q2","BISHAN","3-RM",NA
"16","2005","Q2","BISHAN","4-RM",1000
"17","2005","Q2","BISHAN","5-RM",1100
"18","2005","Q2","BISHAN","EXEC",NA
"19","2005","Q2","BUKIT BATOK","1-RM",NA
"20","2005","Q2","BUKIT BATOK","2-RM",NA
"21","2005","Q2","BUKIT BATOK","3-RM",745
"22","2005","Q2","BUKIT BATOK","4-RM",925
"23","2005","Q2","BUKIT BATOK","5-RM",NA
"24","2005","Q2","BUKIT BATOK","EXEC",NA
"25","2005","Q2","BUKIT MERAH","1-RM",NA
"26","2005","Q2","BUKIT MERAH","2-RM",NA
"27","2005","Q2","BUKIT MERAH","3-RM",850
"28","2005","Q2","BUKIT MERAH","4-RM",NA
"29","2005","Q2","BUKIT MERAH","5-RM",NA
"30","2005","Q2","BUKIT MERAH","EXEC",NA
"31","2005","Q2","BUKIT PANJANG","1-RM",NA
"32","2005","Q2","BUKIT PANJANG","2-RM",NA
"33","2005","Q2","BUKIT PANJANG","3-RM",NA
"34","2005","Q2","BUKIT PANJANG","4-RM",NA
"35","2005","Q2","BUKIT PANJANG","5-RM",NA
"36","2005","Q2","BUKIT PANJANG","EXEC",NA
"37","2005","Q2","BUKIT TIMAH","1-RM",NA
"38","2005","Q2","BUKIT TIMAH","2-RM",NA
"39","2005","Q2","BUKIT TIMAH","3-RM",NA
"40","2005","Q2","BUKIT TIMAH","4-RM",NA
"41","2005","Q2","BUKIT TIMAH","5-RM",NA
"42","2005","Q2","BUKIT TIMAH","EXEC",NA
"43","2005","Q2","CENTRAL","1-RM",NA
"44","2005","Q2","CENTRAL","2-RM",NA
"45","2005","Q2","CENTRAL","3-RM",NA
"46","2005","Q2","CENTRAL","4-RM",NA
"47","2005","Q2","CENTRAL","5-RM",NA
"48","2005","Q2","CENTRAL","EXEC",NA
"49","2005","Q2","CHOA CHU KANG","1-RM",NA
"50","2005","Q2","CHOA CHU KANG","2-RM",NA
"51","2005","Q2","CHOA CHU KANG","3-RM",NA
"52","2005","Q2","CHOA CHU KANG","4-RM",900
"53","2005","Q2","CHOA CHU KANG","5-RM",950
"54","2005","Q2","CHOA CHU KANG","EXEC",NA
"55","2005","Q2","CLEMENTI","1-RM",NA
"56","2005","Q2","CLEMENTI","2-RM",NA
"57","2005","Q2","CLEMENTI","3-RM",838
"58","2005","Q2","CLEMENTI","4-RM",1000
"59","2005","Q2","CLEMENTI","5-RM",NA
"60","2005","Q2","CLEMENTI","EXEC",NA
"61","2005","Q2","GEYLANG","1-RM",NA
"62","2005","Q2","GEYLANG","2-RM",NA
"63","2005","Q2","GEYLANG","3-RM",800
"64","2005","Q2","GEYLANG","4-RM",950
"65","2005","Q2","GEYLANG","5-RM",NA
"66","2005","Q2","GEYLANG","EXEC",NA
"67","2005","Q2","HOUGANG","1-RM",NA
"68","2005","Q2","HOUGANG","2-RM",NA
"69","2005","Q2","HOUGANG","3-RM",NA
"70","2005","Q2","HOUGANG","4-RM",850
"71","2005","Q2","HOUGANG","5-RM",NA
"72","2005","Q2","HOUGANG","EXEC",NA
"73","2005","Q2","JURONG EAST","1-RM",NA
"74","2005","Q2","JURONG EAST","2-RM",NA
"75","2005","Q2","JURONG EAST","3-RM",775
"76","2005","Q2","JURONG EAST","4-RM",1000
"77","2005","Q2","JURONG EAST","5-RM",NA
"78","2005","Q2","JURONG EAST","EXEC",NA
"79","2005","Q2","JURONG WEST","1-RM",NA
"80","2005","Q2","JURONG WEST","2-RM",NA
"81","2005","Q2","JURONG WEST","3-RM",750
"82","2005","Q2","JURONG WEST","4-RM",950
"83","2005","Q2","JURONG WEST","5-RM",1000
"84","2005","Q2","JURONG WEST","EXEC",NA
"85","2005","Q2","KALLANG/WHAMPOA","1-RM",NA
"86","2005","Q2","KALLANG/WHAMPOA","2-RM",NA
"87","2005","Q2","KALLANG/WHAMPOA","3-RM",800
"88","2005","Q2","KALLANG/WHAMPOA","4-RM",1000
"89","2005","Q2","KALLANG/WHAMPOA","5-RM",NA
"90","2005","Q2","KALLANG/WHAMPOA","EXEC",NA
"91","2005","Q2","LIM CHU KANG","1-RM",NA
"92","2005","Q2","LIM CHU KANG","2-RM",NA
"93","2005","Q2","LIM CHU KANG","3-RM",NA
"94","2005","Q2","LIM CHU KANG","4-RM",NA
"95","2005","Q2","LIM CHU KANG","5-RM",NA
"96","2005","Q2","LIM CHU KANG","EXEC",NA
"97","2005","Q2","MARINE PARADE","1-RM",NA
"98","2005","Q2","MARINE PARADE","2-RM",NA
"99","2005","Q2","MARINE PARADE","3-RM",820
"100","2005","Q2","MARINE PARADE","4-RM",NA
"101","2005","Q2","MARINE PARADE","5-RM",NA
"102","2005","Q2","MARINE PARADE","EXEC",NA
"103","2005","Q2","PASIR RIS","1-RM",NA
"104","2005","Q2","PASIR RIS","2-RM",NA
"105","2005","Q2","PASIR RIS","3-RM",NA
"106","2005","Q2","PASIR RIS","4-RM",900
"107","2005","Q2","PASIR RIS","5-RM",1000
"108","2005","Q2","PASIR RIS","EXEC",1100
"109","2005","Q2","PUNGGOL","1-RM",NA
"110","2005","Q2","PUNGGOL","2-RM",NA
"111","2005","Q2","PUNGGOL","3-RM",NA
"112","2005","Q2","PUNGGOL","4-RM",NA
"113","2005","Q2","PUNGGOL","5-RM",NA
"114","2005","Q2","PUNGGOL","EXEC",NA
"115","2005","Q2","QUEENSTOWN","1-RM",NA
"116","2005","Q2","QUEENSTOWN","2-RM",NA
"117","2005","Q2","QUEENSTOWN","3-RM",850
"118","2005","Q2","QUEENSTOWN","4-RM",1100
"119","2005","Q2","QUEENSTOWN","5-RM",NA
"120","2005","Q2","QUEENSTOWN","EXEC",NA
"121","2005","Q2","SEMBAWANG","1-RM",NA
"122","2005","Q2","SEMBAWANG","2-RM",NA
"123","2005","Q2","SEMBAWANG","3-RM",NA
"124","2005","Q2","SEMBAWANG","4-RM",NA
"125","2005","Q2","SEMBAWANG","5-RM",900
"126","2005","Q2","SEMBAWANG","EXEC",NA
"127","2005","Q2","SENGKANG","1-RM",NA
"128","2005","Q2","SENGKANG","2-RM",NA
"129","2005","Q2","SENGKANG","3-RM",NA
"130","2005","Q2","SENGKANG","4-RM",NA
"131","2005","Q2","SENGKANG","5-RM",NA
"132","2005","Q2","SENGKANG","EXEC",NA
"133","2005","Q2","SERANGOON","1-RM",NA
"134","2005","Q2","SERANGOON","2-RM",NA
"135","2005","Q2","SERANGOON","3-RM",NA
"136","2005","Q2","SERANGOON","4-RM",900
"137","2005","Q2","SERANGOON","5-RM",NA
"138","2005","Q2","SERANGOON","EXEC",NA
"139","2005","Q2","TAMPINES","1-RM",NA
"140","2005","Q2","TAMPINES","2-RM",NA
"141","2005","Q2","TAMPINES","3-RM",800
"142","2005","Q2","TAMPINES","4-RM",950
"143","2005","Q2","TAMPINES","5-RM",1000
"144","2005","Q2","TAMPINES","EXEC",NA
"145","2005","Q2","TOA PAYOH","1-RM",NA
"146","2005","Q2","TOA PAYOH","2-RM",NA
"147","2005","Q2","TOA PAYOH","3-RM",800
"148","2005","Q2","TOA PAYOH","4-RM",1000
"149","2005","Q2","TOA PAYOH","5-RM",NA
"150","2005","Q2","TOA PAYOH","EXEC",NA
"151","2005","Q2","WOODLANDS","1-RM",NA
"152","2005","Q2","WOODLANDS","2-RM",NA
"153","2005","Q2","WOODLANDS","3-RM",NA
"154","2005","Q2","WOODLANDS","4-RM",850
"155","2005","Q2","WOODLANDS","5-RM",900
"156","2005","Q2","WOODLANDS","EXEC",1025
"157","2005","Q2","YISHUN","1-RM",NA
"158","2005","Q2","YISHUN","2-RM",NA
"159","2005","Q2","YISHUN","3-RM",750
"160","2005","Q2","YISHUN","4-RM",850
"161","2005","Q2","YISHUN","5-RM",NA
"162","2005","Q2","YISHUN","EXEC",NA
"163","2005","Q3","ANG MO KIO","1-RM",NA
"164","2005","Q3","ANG MO KIO","2-RM",NA
"165","2005","Q3","ANG MO KIO","3-RM",800
"166","2005","Q3","ANG MO KIO","4-RM",950
"167","2005","Q3","ANG MO KIO","5-RM",NA
"168","2005","Q3","ANG MO KIO","EXEC",NA
"169","2005","Q3","BEDOK","1-RM",NA
"170","2005","Q3","BEDOK","2-RM",NA
"171","2005","Q3","BEDOK","3-RM",800
"172","2005","Q3","BEDOK","4-RM",900
"173","2005","Q3","BEDOK","5-RM",1000
"174","2005","Q3","BEDOK","EXEC",NA
"175","2005","Q3","BISHAN","1-RM",NA
"176","2005","Q3","BISHAN","2-RM",NA
"177","2005","Q3","BISHAN","3-RM",780
"178","2005","Q3","BISHAN","4-RM",1050
"179","2005","Q3","BISHAN","5-RM",1200
"180","2005","Q3","BISHAN","EXEC",NA
"181","2005","Q3","BUKIT BATOK","1-RM",NA
"182","2005","Q3","BUKIT BATOK","2-RM",NA
"183","2005","Q3","BUKIT BATOK","3-RM",700
"184","2005","Q3","BUKIT BATOK","4-RM",900
"185","2005","Q3","BUKIT BATOK","5-RM",NA
"186","2005","Q3","BUKIT BATOK","EXEC",NA
"187","2005","Q3","BUKIT MERAH","1-RM",NA
"188","2005","Q3","BUKIT MERAH","2-RM",NA
"189","2005","Q3","BUKIT MERAH","3-RM",800
"190","2005","Q3","BUKIT MERAH","4-RM",NA
"191","2005","Q3","BUKIT MERAH","5-RM",NA
"192","2005","Q3","BUKIT MERAH","EXEC",NA
"193","2005","Q3","BUKIT PANJANG","1-RM",NA
"194","2005","Q3","BUKIT PANJANG","2-RM",NA
"195","2005","Q3","BUKIT PANJANG","3-RM",NA
"196","2005","Q3","BUKIT PANJANG","4-RM",NA
"197","2005","Q3","BUKIT PANJANG","5-RM",NA
"198","2005","Q3","BUKIT PANJANG","EXEC",NA
"199","2005","Q3","BUKIT TIMAH","1-RM",NA
"200","2005","Q3","BUKIT TIMAH","2-RM",NA
"201","2005","Q3","BUKIT TIMAH","3-RM",NA
"202","2005","Q3","BUKIT TIMAH","4-RM",NA
"203","2005","Q3","BUKIT TIMAH","5-RM",NA
"204","2005","Q3","BUKIT TIMAH","EXEC",NA
"205","2005","Q3","CENTRAL","1-RM",NA
"206","2005","Q3","CENTRAL","2-RM",NA
"207","2005","Q3","CENTRAL","3-RM",NA
"208","2005","Q3","CENTRAL","4-RM",NA
"209","2005","Q3","CENTRAL","5-RM",NA
"210","2005","Q3","CENTRAL","EXEC",NA
"211","2005","Q3","CHOA CHU KANG","1-RM",NA
"212","2005","Q3","CHOA CHU KANG","2-RM",NA
"213","2005","Q3","CHOA CHU KANG","3-RM",NA
"214","2005","Q3","CHOA CHU KANG","4-RM",850
"215","2005","Q3","CHOA CHU KANG","5-RM",950
"216","2005","Q3","CHOA CHU KANG","EXEC",NA
"217","2005","Q3","CLEMENTI","1-RM",NA
"218","2005","Q3","CLEMENTI","2-RM",NA
"219","2005","Q3","CLEMENTI","3-RM",860
"220","2005","Q3","CLEMENTI","4-RM",1050
"221","2005","Q3","CLEMENTI","5-RM",NA
"222","2005","Q3","CLEMENTI","EXEC",NA
"223","2005","Q3","GEYLANG","1-RM",NA
"224","2005","Q3","GEYLANG","2-RM",NA
"225","2005","Q3","GEYLANG","3-RM",800
"226","2005","Q3","GEYLANG","4-RM",NA
"227","2005","Q3","GEYLANG","5-RM",NA
"228","2005","Q3","GEYLANG","EXEC",NA
"229","2005","Q3","HOUGANG","1-RM",NA
"230","2005","Q3","HOUGANG","2-RM",NA
"231","2005","Q3","HOUGANG","3-RM",NA
"232","2005","Q3","HOUGANG","4-RM",900
"233","2005","Q3","HOUGANG","5-RM",930
"234","2005","Q3","HOUGANG","EXEC",NA
"235","2005","Q3","JURONG EAST","1-RM",NA
"236","2005","Q3","JURONG EAST","2-RM",NA
"237","2005","Q3","JURONG EAST","3-RM",800
"238","2005","Q3","JURONG EAST","4-RM",NA
"239","2005","Q3","JURONG EAST","5-RM",1044
"240","2005","Q3","JURONG EAST","EXEC",NA
"241","2005","Q3","JURONG WEST","1-RM",NA
"242","2005","Q3","JURONG WEST","2-RM",NA
"243","2005","Q3","JURONG WEST","3-RM",800
"244","2005","Q3","JURONG WEST","4-RM",900
"245","2005","Q3","JURONG WEST","5-RM",1075
"246","2005","Q3","JURONG WEST","EXEC",NA
"247","2005","Q3","KALLANG/WHAMPOA","1-RM",NA
"248","2005","Q3","KALLANG/WHAMPOA","2-RM",NA
"249","2005","Q3","KALLANG/WHAMPOA","3-RM",800
"250","2005","Q3","KALLANG/WHAMPOA","4-RM",NA
"251","2005","Q3","KALLANG/WHAMPOA","5-RM",NA
"252","2005","Q3","KALLANG/WHAMPOA","EXEC",NA
"253","2005","Q3","LIM CHU KANG","1-RM",NA
"254","2005","Q3","LIM CHU KANG","2-RM",NA
"255","2005","Q3","LIM CHU KANG","3-RM",NA
"256","2005","Q3","LIM CHU KANG","4-RM",NA
"257","2005","Q3","LIM CHU KANG","5-RM",NA
"258","2005","Q3","LIM CHU KANG","EXEC",NA
"259","2005","Q3","MARINE PARADE","1-RM",NA
"260","2005","Q3","MARINE PARADE","2-RM",NA
"261","2005","Q3","MARINE PARADE","3-RM",880
"262","2005","Q3","MARINE PARADE","4-RM",NA
"263","2005","Q3","MARINE PARADE","5-RM",NA
"264","2005","Q3","MARINE PARADE","EXEC",NA
"265","2005","Q3","PASIR RIS","1-RM",NA
"266","2005","Q3","PASIR RIS","2-RM",NA
"267","2005","Q3","PASIR RIS","3-RM",NA
"268","2005","Q3","PASIR RIS","4-RM",900
"269","2005","Q3","PASIR RIS","5-RM",975
"270","2005","Q3","PASIR RIS","EXEC",1000
"271","2005","Q3","PUNGGOL","1-RM",NA
"272","2005","Q3","PUNGGOL","2-RM",NA
"273","2005","Q3","PUNGGOL","3-RM",NA
"274","2005","Q3","PUNGGOL","4-RM",NA
"275","2005","Q3","PUNGGOL","5-RM",NA
"276","2005","Q3","PUNGGOL","EXEC",NA
"277","2005","Q3","QUEENSTOWN","1-RM",NA
"278","2005","Q3","QUEENSTOWN","2-RM",NA
"279","2005","Q3","QUEENSTOWN","3-RM",850
"280","2005","Q3","QUEENSTOWN","4-RM",1100
"281","2005","Q3","QUEENSTOWN","5-RM",NA
"282","2005","Q3","QUEENSTOWN","EXEC",NA
"283","2005","Q3","SEMBAWANG","1-RM",NA
"284","2005","Q3","SEMBAWANG","2-RM",NA
"285","2005","Q3","SEMBAWANG","3-RM",NA
"286","2005","Q3","SEMBAWANG","4-RM",NA
"287","2005","Q3","SEMBAWANG","5-RM",NA
"288","2005","Q3","SEMBAWANG","EXEC",NA
"289","2005","Q3","SENGKANG","1-RM",NA
"290","2005","Q3","SENGKANG","2-RM",NA
"291","2005","Q3","SENGKANG","3-RM",NA
"292","2005","Q3","SENGKANG","4-RM",NA
"293","2005","Q3","SENGKANG","5-RM",850
"294","2005","Q3","SENGKANG","EXEC",NA
"295","2005","Q3","SERANGOON","1-RM",NA
"296","2005","Q3","SERANGOON","2-RM",NA
"297","2005","Q3","SERANGOON","3-RM",NA
"298","2005","Q3","SERANGOON","4-RM",900
"299","2005","Q3","SERANGOON","5-RM",NA
"300","2005","Q3","SERANGOON","EXEC",NA
"301","2005","Q3","TAMPINES","1-RM",NA
"302","2005","Q3","TAMPINES","2-RM",NA
"303","2005","Q3","TAMPINES","3-RM",800
"304","2005","Q3","TAMPINES","4-RM",900
"305","2005","Q3","TAMPINES","5-RM",1100
"306","2005","Q3","TAMPINES","EXEC",NA
"307","2005","Q3","TOA PAYOH","1-RM",NA
"308","2005","Q3","TOA PAYOH","2-RM",NA
"309","2005","Q3","TOA PAYOH","3-RM",850
"310","2005","Q3","TOA PAYOH","4-RM",1000
"311","2005","Q3","TOA PAYOH","5-RM",NA
"312","2005","Q3","TOA PAYOH","EXEC",NA
"313","2005","Q3","WOODLANDS","1-RM",NA
"314","2005","Q3","WOODLANDS","2-RM",NA
"315","2005","Q3","WOODLANDS","3-RM",NA
"316","2005","Q3","WOODLANDS","4-RM",900
"317","2005","Q3","WOODLANDS","5-RM",900
"318","2005","Q3","WOODLANDS","EXEC",NA
"319","2005","Q3","YISHUN","1-RM",NA
"320","2005","Q3","YISHUN","2-RM",NA
"321","2005","Q3","YISHUN","3-RM",728
"322","2005","Q3","YISHUN","4-RM",850
"323","2005","Q3","YISHUN","5-RM",900
"324","2005","Q3","YISHUN","EXEC",NA
"325","2005","Q4","ANG MO KIO","1-RM",NA
"326","2005","Q4","ANG MO KIO","2-RM",NA
"327","2005","Q4","ANG MO KIO","3-RM",800
"328","2005","Q4","ANG MO KIO","4-RM",925
"329","2005","Q4","ANG MO KIO","5-RM",NA
"330","2005","Q4","ANG MO KIO","EXEC",NA
"331","2005","Q4","BEDOK","1-RM",NA
"332","2005","Q4","BEDOK","2-RM",NA
"333","2005","Q4","BEDOK","3-RM",800
"334","2005","Q4","BEDOK","4-RM",950
"335","2005","Q4","BEDOK","5-RM",1075
"336","2005","Q4","BEDOK","EXEC",NA
"337","2005","Q4","BISHAN","1-RM",NA
"338","2005","Q4","BISHAN","2-RM",NA
"339","2005","Q4","BISHAN","3-RM",NA
"340","2005","Q4","BISHAN","4-RM",1000
"341","2005","Q4","BISHAN","5-RM",NA
"342","2005","Q4","BISHAN","EXEC",NA
"343","2005","Q4","BUKIT BATOK","1-RM",NA
"344","2005","Q4","BUKIT BATOK","2-RM",NA
"345","2005","Q4","BUKIT BATOK","3-RM",800
"346","2005","Q4","BUKIT BATOK","4-RM",900
"347","2005","Q4","BUKIT BATOK","5-RM",NA
"348","2005","Q4","BUKIT BATOK","EXEC",NA
"349","2005","Q4","BUKIT MERAH","1-RM",NA
"350","2005","Q4","BUKIT MERAH","2-RM",NA
"351","2005","Q4","BUKIT MERAH","3-RM",800
"352","2005","Q4","BUKIT MERAH","4-RM",1000
"353","2005","Q4","BUKIT MERAH","5-RM",NA
"354","2005","Q4","BUKIT MERAH","EXEC",NA
"355","2005","Q4","BUKIT PANJANG","1-RM",NA
"356","2005","Q4","BUKIT PANJANG","2-RM",NA
"357","2005","Q4","BUKIT PANJANG","3-RM",NA
"358","2005","Q4","BUKIT PANJANG","4-RM",NA
"359","2005","Q4","BUKIT PANJANG","5-RM",NA
"360","2005","Q4","BUKIT PANJANG","EXEC",NA
"361","2005","Q4","BUKIT TIMAH","1-RM",NA
"362","2005","Q4","BUKIT TIMAH","2-RM",NA
"363","2005","Q4","BUKIT TIMAH","3-RM",NA
"364","2005","Q4","BUKIT TIMAH","4-RM",NA
"365","2005","Q4","BUKIT TIMAH","5-RM",NA
"366","2005","Q4","BUKIT TIMAH","EXEC",NA
"367","2005","Q4","CENTRAL","1-RM",NA
"368","2005","Q4","CENTRAL","2-RM",NA
"369","2005","Q4","CENTRAL","3-RM",NA
"370","2005","Q4","CENTRAL","4-RM",NA
"371","2005","Q4","CENTRAL","5-RM",NA
"372","2005","Q4","CENTRAL","EXEC",NA
"373","2005","Q4","CHOA CHU KANG","1-RM",NA
"374","2005","Q4","CHOA CHU KANG","2-RM",NA
"375","2005","Q4","CHOA CHU KANG","3-RM",NA
"376","2005","Q4","CHOA CHU KANG","4-RM",900
"377","2005","Q4","CHOA CHU KANG","5-RM",925
"378","2005","Q4","CHOA CHU KANG","EXEC",NA
"379","2005","Q4","CLEMENTI","1-RM",NA
"380","2005","Q4","CLEMENTI","2-RM",NA
"381","2005","Q4","CLEMENTI","3-RM",800
"382","2005","Q4","CLEMENTI","4-RM",1000
"383","2005","Q4","CLEMENTI","5-RM",NA
"384","2005","Q4","CLEMENTI","EXEC",NA
"385","2005","Q4","GEYLANG","1-RM",NA
"386","2005","Q4","GEYLANG","2-RM",NA
"387","2005","Q4","GEYLANG","3-RM",800
"388","2005","Q4","GEYLANG","4-RM",1000
"389","2005","Q4","GEYLANG","5-RM",NA
"390","2005","Q4","GEYLANG","EXEC",NA
"391","2005","Q4","HOUGANG","1-RM",NA
"392","2005","Q4","HOUGANG","2-RM",NA
"393","2005","Q4","HOUGANG","3-RM",NA
"394","2005","Q4","HOUGANG","4-RM",880
"395","2005","Q4","HOUGANG","5-RM",900
"396","2005","Q4","HOUGANG","EXEC",NA
"397","2005","Q4","JURONG EAST","1-RM",NA
"398","2005","Q4","JURONG EAST","2-RM",NA
"399","2005","Q4","JURONG EAST","3-RM",800
"400","2005","Q4","JURONG EAST","4-RM",NA
"401","2005","Q4","JURONG EAST","5-RM",NA
"402","2005","Q4","JURONG EAST","EXEC",NA
"403","2005","Q4","JURONG WEST","1-RM",NA
"404","2005","Q4","JURONG WEST","2-RM",NA
"405","2005","Q4","JURONG WEST","3-RM",800
"406","2005","Q4","JURONG WEST","4-RM",1000
"407","2005","Q4","JURONG WEST","5-RM",1000
"408","2005","Q4","JURONG WEST","EXEC",NA
"409","2005","Q4","KALLANG/WHAMPOA","1-RM",NA
"410","2005","Q4","KALLANG/WHAMPOA","2-RM",NA
"411","2005","Q4","KALLANG/WHAMPOA","3-RM",800
"412","2005","Q4","KALLANG/WHAMPOA","4-RM",NA
"413","2005","Q4","KALLANG/WHAMPOA","5-RM",NA
"414","2005","Q4","KALLANG/WHAMPOA","EXEC",NA
"415","2005","Q4","LIM CHU KANG","1-RM",NA
"416","2005","Q4","LIM CHU KANG","2-RM",NA
"417","2005","Q4","LIM CHU KANG","3-RM",NA
"418","2005","Q4","LIM CHU KANG","4-RM",NA
"419","2005","Q4","LIM CHU KANG","5-RM",NA
"420","2005","Q4","LIM CHU KANG","EXEC",NA
"421","2005","Q4","MARINE PARADE","1-RM",NA
"422","2005","Q4","MARINE PARADE","2-RM",NA
"423","2005","Q4","MARINE PARADE","3-RM",900
"424","2005","Q4","MARINE PARADE","4-RM",NA
"425","2005","Q4","MARINE PARADE","5-RM",NA
"426","2005","Q4","MARINE PARADE","EXEC",NA
"427","2005","Q4","PASIR RIS","1-RM",NA
"428","2005","Q4","PASIR RIS","2-RM",NA
"429","2005","Q4","PASIR RIS","3-RM",NA
"430","2005","Q4","PASIR RIS","4-RM",910
"431","2005","Q4","PASIR RIS","5-RM",900
"432","2005","Q4","PASIR RIS","EXEC",1050
"433","2005","Q4","PUNGGOL","1-RM",NA
"434","2005","Q4","PUNGGOL","2-RM",NA
"435","2005","Q4","PUNGGOL","3-RM",NA
"436","2005","Q4","PUNGGOL","4-RM",NA
"437","2005","Q4","PUNGGOL","5-RM",NA
"438","2005","Q4","PUNGGOL","EXEC",NA
"439","2005","Q4","QUEENSTOWN","1-RM",NA
"440","2005","Q4","QUEENSTOWN","2-RM",NA
"441","2005","Q4","QUEENSTOWN","3-RM",850
"442","2005","Q4","QUEENSTOWN","4-RM",1100
"443","2005","Q4","QUEENSTOWN","5-RM",NA
"444","2005","Q4","QUEENSTOWN","EXEC",NA
"445","2005","Q4","SEMBAWANG","1-RM",NA
"446","2005","Q4","SEMBAWANG","2-RM",NA
"447","2005","Q4","SEMBAWANG","3-RM",NA
"448","2005","Q4","SEMBAWANG","4-RM",NA
"449","2005","Q4","SEMBAWANG","5-RM",NA
"450","2005","Q4","SEMBAWANG","EXEC",NA
"451","2005","Q4","SENGKANG","1-RM",NA
"452","2005","Q4","SENGKANG","2-RM",NA
"453","2005","Q4","SENGKANG","3-RM",NA
"454","2005","Q4","SENGKANG","4-RM",NA
"455","2005","Q4","SENGKANG","5-RM",940
"456","2005","Q4","SENGKANG","EXEC",NA
"457","2005","Q4","SERANGOON","1-RM",NA
"458","2005","Q4","SERANGOON","2-RM",NA
"459","2005","Q4","SERANGOON","3-RM",NA
"460","2005","Q4","SERANGOON","4-RM",980
"461","2005","Q4","SERANGOON","5-RM",NA
"462","2005","Q4","SERANGOON","EXEC",NA
"463","2005","Q4","TAMPINES","1-RM",NA
"464","2005","Q4","TAMPINES","2-RM",NA
"465","2005","Q4","TAMPINES","3-RM",850
"466","2005","Q4","TAMPINES","4-RM",975
"467","2005","Q4","TAMPINES","5-RM",1000
"468","2005","Q4","TAMPINES","EXEC",NA
"469","2005","Q4","TOA PAYOH","1-RM",NA
"470","2005","Q4","TOA PAYOH","2-RM",NA
"471","2005","Q4","TOA PAYOH","3-RM",800
"472","2005","Q4","TOA PAYOH","4-RM",900
"473","2005","Q4","TOA PAYOH","5-RM",NA
"474","2005","Q4","TOA PAYOH","EXEC",NA
"475","2005","Q4","WOODLANDS","1-RM",NA
"476","2005","Q4","WOODLANDS","2-RM",NA
"477","2005","Q4","WOODLANDS","3-RM",NA
"478","2005","Q4","WOODLANDS","4-RM",800
"479","2005","Q4","WOODLANDS","5-RM",900
"480","2005","Q4","WOODLANDS","EXEC",1000
"481","2005","Q4","YISHUN","1-RM",NA
"482","2005","Q4","YISHUN","2-RM",NA
"483","2005","Q4","YISHUN","3-RM",735
"484","2005","Q4","YISHUN","4-RM",850
"485","2005","Q4","YISHUN","5-RM",NA
"486","2005","Q4","YISHUN","EXEC",NA
"487","2006","Q1","ANG MO KIO","1-RM",NA
"488","2006","Q1","ANG MO KIO","2-RM",NA
"489","2006","Q1","ANG MO KIO","3-RM",800
"490","2006","Q1","ANG MO KIO","4-RM",950
"491","2006","Q1","ANG MO KIO","5-RM",NA
"492","2006","Q1","ANG MO KIO","EXEC",NA
"493","2006","Q1","BEDOK","1-RM",NA
"494","2006","Q1","BEDOK","2-RM",NA
"495","2006","Q1","BEDOK","3-RM",800
"496","2006","Q1","BEDOK","4-RM",950
"497","2006","Q1","BEDOK","5-RM",NA
"498","2006","Q1","BEDOK","EXEC",NA
"499","2006","Q1","BISHAN","1-RM",NA
"500","2006","Q1","BISHAN","2-RM",NA
"501","2006","Q1","BISHAN","3-RM",NA
"502","2006","Q1","BISHAN","4-RM",1000
"503","2006","Q1","BISHAN","5-RM",1150
"504","2006","Q1","BISHAN","EXEC",NA
"505","2006","Q1","BUKIT BATOK","1-RM",NA
"506","2006","Q1","BUKIT BATOK","2-RM",NA
"507","2006","Q1","BUKIT BATOK","3-RM",750
"508","2006","Q1","BUKIT BATOK","4-RM",900
"509","2006","Q1","BUKIT BATOK","5-RM",NA
"510","2006","Q1","BUKIT BATOK","EXEC",NA
"511","2006","Q1","BUKIT MERAH","1-RM",NA
"512","2006","Q1","BUKIT MERAH","2-RM",NA
"513","2006","Q1","BUKIT MERAH","3-RM",900
"514","2006","Q1","BUKIT MERAH","4-RM",NA
"515","2006","Q1","BUKIT MERAH","5-RM",NA
"516","2006","Q1","BUKIT MERAH","EXEC",NA
"517","2006","Q1","BUKIT PANJANG","1-RM",NA
"518","2006","Q1","BUKIT PANJANG","2-RM",NA
"519","2006","Q1","BUKIT PANJANG","3-RM",NA
"520","2006","Q1","BUKIT PANJANG","4-RM",NA
"521","2006","Q1","BUKIT PANJANG","5-RM",NA
"522","2006","Q1","BUKIT PANJANG","EXEC",NA
"523","2006","Q1","BUKIT TIMAH","1-RM",NA
"524","2006","Q1","BUKIT TIMAH","2-RM",NA
"525","2006","Q1","BUKIT TIMAH","3-RM",NA
"526","2006","Q1","BUKIT TIMAH","4-RM",NA
"527","2006","Q1","BUKIT TIMAH","5-RM",NA
"528","2006","Q1","BUKIT TIMAH","EXEC",NA
"529","2006","Q1","CENTRAL","1-RM",NA
