District.,Address.,Bathrooms.,Bedrooms.,Built.Year.,Developer.,Property.Name.,nearest_mrt_name,neighbourhood,PSF.,Property.Type.,Asking.,Area.Builtup,Area.Land,Tenure.,total_units,travel_time_changi,travel_time_orchard,travel_time_raffles,unit_types,Furnish.,Floor.Description,overlooking_view,facing,is_HDB
 D14 - Eunos / Geylang / Paya Lebar ,36 Dakota Crescent,4,4,2010,Ho Bee Group,Dakota Residences,Dakota MRT,Geylang,5.02,Condominium,9500,1894,NA,99 Years,348,50,29,24,"1, 2, 3, 4 BR",Partial,Low,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,78 Dakota Crescent,4,4,2013,UOL Group Limited,Waterbank At Dakota,Dakota MRT,Geylang,5.6,Condominium,8800,1572,NA,99 Years,616,49,29,24,"1, 2, 3, 4 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,30 Kampong Eunos,2,4,2007,Eastwood Park Pte Ltd,Deng Fu Ville,Eunos MRT,Bedok,3.47,Condominium,5200,1500,NA,Freehold,44,36,30,22,"3, 4 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,14D Jalan Masjid,2,2,1994,King Lye Real Estate P/L (Far East Organization),Kingston Terrace,Kembangan MRT,Bedok,2.85,Condominium,4200,1475,NA,Freehold,32,35,29,21,2 BR,NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,8B Jalan Masjid,2,2,1994,King Lye Real Estate P/L (Far East Organization),Kingston Terrace,Kembangan MRT,Bedok,2.91,Condominium,4200,1442,NA,Freehold,32,35,29,21,2 BR,NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,1 Jalan Kembangan,3,3,2005,Sureworth Developments Pte Ltd,The Trumps,Kembangan MRT,Bedok,4.05,Condominium,5800,1433,NA,99 Years,189,35,29,21,"1, 2, 3 BR",Fully,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,233 Paya Lebar Road,3,3,2006,Everian Holdings Pte Ltd (Guccoland Ltd),Le Crescendo,MacPherson MRT,Geylang,4.14,Condominium,5700,1378,NA,Freehold,228,44,35,27,"2, 3 BR",NA,High,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,654 Jalan Tenaga,2,4,1996,HDB,Eunos Damai Ville,NA,Bedok,3.18,HDB 4 Rooms,4380,1378,NA,99 Years,NA,45,34,33,"2, 3, 4 BR",NA,NA,NA,NA,Yes
 D14 - Eunos / Geylang / Paya Lebar ,3 Lorong 41 Geylang,2,4,2014,NA,Lotus at Paya Lebar (West Wing),Paya Lebar MRT,Geylang,5.86,Apartment,7700,1313,NA,Freehold,47,44,28,20,"Studio, 1, 2, 3, 4 BR",Partial,Low,Greenery view,North East,No
 D14 - Eunos / Geylang / Paya Lebar ,11 Paya Lebar Road,3,4,2014,NA,Lotus at Paya Lebar (East Wing),Paya Lebar MRT,Geylang,5.86,Condominium,7700,1313,NA,Freehold,99,43,27,19,"Studio, 1, 2, 3, 4 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,Lorong 41 Geylang,2,4,2014,NA,Lotus at Paya Lebar (West Wing),Paya Lebar MRT,Geylang,5.86,Detached,7700,1313,NA,Freehold,47,44,28,20,"Studio, 1, 2, 3, 4 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,22 Lorong Marzuki,2,3,1993,NA,Vicenta Lodge,Kembangan MRT,Bedok,3.17,Condominium,4000,1260,NA,Freehold,16,35,32,24,3 BR,Fully,NA,NA,South,No
 D14 - Eunos / Geylang / Paya Lebar ,906 Sims Avenue,3,4,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,6.52,Condominium,8000,1227,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,900 Sims Avenue,3,4,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,6.93,Condominium,8500,1227,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,906 Sims Avenue,3,4,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,6.93,Condominium,8500,1227,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,900 Sims Avenue,3,4,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,7.17,Condominium,8800,1227,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,916 Sims Avenue,3,4,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,6.52,Condominium,8000,1227,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,900 Sims Avenue,2,4,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,7.74,Condominium,9500,1227,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,908 Sims Avenue,3,4,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,6.68,Condominium,8200,1227,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,900 Sims Avenue,3,4,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,7.74,Condominium,9500,1227,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,60 Lengkong Tiga,2,3,2006,"Koh Brothers Development Pte Ltd, Aig",Starville,Kembangan MRT,Bedok,3.7,Condominium,4500,1216,NA,Freehold,250,46,43,37,"1, 3 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,3 Lorong 42 Geylang,3,4,1999,South London Properties Pte Ltd (Far East Organization),Aston Mansions,Paya Lebar MRT,Geylang,4.13,Apartment,4800,1163,NA,99 Years,159,46,30,22,"Studio, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,76 Dakota Crescent,2,3,2013,UOL Group Limited,Waterbank At Dakota,Dakota MRT,Geylang,7.45,Condominium,8500,1141,NA,99 Years,616,49,29,24,"1, 2, 3, 4 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,55 Changi Road,1,2,2016,Mequity Assets Pte Ltd,Millage,Eunos MRT,Geylang,4.07,Condominium,4600,1130,NA,Freehold,70,39,33,25,"1, 2 BR",Fully,Top,City view,South West,No
 D14 - Eunos / Geylang / Paya Lebar ,55 Changi Road,1,2,2016,Mequity Assets Pte Ltd,Millage,Eunos MRT,Geylang,4.07,Condominium,4600,1130,NA,Freehold,70,39,33,25,"1, 2 BR",Fully,Top,City view,South West,No
 D14 - Eunos / Geylang / Paya Lebar ,900 Sims Avenue,2,4,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,7.33,Condominium,8200,1119,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,900 Sims Avenue,3,4,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,7.15,Condominium,8000,1119,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,900 Sims Avenue,2,4,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,7.09,Condominium,7800,1100,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,916 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,7.28,Condominium,8000,1099,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,50 Lorong 40 Geylang,3,3,1998,Sing-Indo Development Pte Ltd,The Sunny Spring,Dakota MRT,Geylang,4.78,Apartment,5250,1098,NA,Freehold,338,49,32,24,"Studio, 1, 3, 4 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,10 Lorong 14 Geylang,2,3,1997,Wing Fong Development Pte Ltd,Wing Fong Court,Aljunied MRT,Geylang,4.5,Condominium,4800,1066,NA,Freehold,218,54,32,20,"2, 3 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,916 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,5.69,Condominium,6000,1055,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,69H Lorong Melayu,3,3,2010,Endo Development P/L (Subsidiary Of Teambuild Land),Bliss Ville,Kembangan MRT,Bedok,5.69,Condominium,6000,1055,NA,Freehold,18,40,34,26,3 BR,NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,11 Paya Lebar Road,2,3,2014,NA,Lotus at Paya Lebar (East Wing),Paya Lebar MRT,Geylang,7.38,Condominium,7700,1044,NA,Freehold,99,43,27,19,"Studio, 1, 2, 3, 4 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,11 Paya Lebar Road,2,3,2014,NA,Lotus at Paya Lebar (East Wing),Paya Lebar MRT,Geylang,4.98,Condominium,5200,1044,NA,Freehold,99,43,27,19,"Studio, 1, 2, 3, 4 BR",Partial,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,916 Sims Avenue,3,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,6.35,Condominium,6500,1023,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,916 Sims Avenue,3,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,6.35,Condominium,6500,1023,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,900 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,6.35,Condominium,6500,1023,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,902 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,6.35,Condominium,6500,1023,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,900 Sims Avenue,3,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,5.87,Condominium,6000,1023,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,916 Sims Avenue,3,4,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,6.26,Condominium,6400,1022,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,916 Sims Avenue,3,4,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,6.36,Condominium,6500,1022,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,900 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,7.19,Condominium,7200,1001,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,916 Sims Avenue,3,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,6.49,Condominium,6500,1001,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,914 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,6.48,Condominium,6488,1001,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,23 Eunos Crescent,2,3,1977,HDB,Eunos Crescent View,NA,Geylang,4.29,HDB 4 Rooms,4200,980,NA,99 Years,NA,44,32,24,"2, 3, 4 BR",NA,NA,NA,NA,Yes
 D14 - Eunos / Geylang / Paya Lebar ,912 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,7.31,Condominium,7000,958,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,High,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,914 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,6.78,Condominium,6500,958,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",Partial,Low,NA,South,No
 D14 - Eunos / Geylang / Paya Lebar ,914 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,6.26,Condominium,6000,958,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",Partial,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,916 Sims Avenue,3,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,7.31,Condominium,7000,958,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,900 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,6.78,Condominium,6500,958,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",Unfurnished,High,NA,North,No
 D14 - Eunos / Geylang / Paya Lebar ,914 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,8.35,Condominium,8000,958,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,902 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,7.83,Condominium,7500,958,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",Partial,High,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,916 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,6.26,Condominium,6000,958,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,914 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,6.78,Condominium,6500,958,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",Partial,Low,NA,South,No
 D14 - Eunos / Geylang / Paya Lebar ,916 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,6.48,Condominium,6000,926,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,904 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,7.02,Condominium,6500,926,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,906 Sims Avenue,2,2,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,5.29,Condominium,4900,926,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,906 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,6.48,Condominium,6000,926,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",Partial,High,NA,South,No
 D14 - Eunos / Geylang / Paya Lebar ,916 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,7.02,Condominium,6500,926,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,916 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,6.16,Condominium,5700,926,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,906 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,6.48,Condominium,6000,926,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,908 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,7.56,Condominium,7000,926,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,910 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,7.02,Condominium,6500,926,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,916 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,7.02,Condominium,6500,926,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,908 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,7.02,Condominium,6500,926,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,916 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,7.02,Condominium,6500,926,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,908 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,6.48,Condominium,6000,926,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,916 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,7.34,Condominium,6800,926,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,906 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,7.02,Condominium,6500,926,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,900 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,7.02,Condominium,6500,926,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",Partial,Mid,NA,North,No
 D14 - Eunos / Geylang / Paya Lebar ,900 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,7.02,Condominium,6500,926,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",Partial,Mid,NA,North,No
 D14 - Eunos / Geylang / Paya Lebar ,30 Lorong Mydin,2,2,1998,Far East Organization,Astoria Park,Kembangan MRT,Bedok,4.8,Condominium,4400,916,NA,99 Years,354,36,28,20,"2, 3 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,906 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,7.21,Condominium,6600,915,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,906 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,7.65,Condominium,7000,915,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,906 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,6.78,Condominium,6200,915,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,906 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,7.1,Condominium,6500,915,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,178 Jalan Eunos,2,2,2020,Roxy-Pacific Holdings,The Navian,Eunos MRT,Bedok,5.86,Condominium,5300,904,NA,Freehold,48,46,30,28,"Studio, 2, 3, 4 BR",Partial,High,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,902 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,7.74,Condominium,7000,904,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",Partial,Mid,NA,North,No
 D14 - Eunos / Geylang / Paya Lebar ,178 Jalan Eunos,2,2,2020,Roxy-Pacific Holdings,The Navian,Eunos MRT,Bedok,5.86,Condominium,5300,904,NA,Freehold,48,46,30,28,"Studio, 2, 3, 4 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,1 Lorong 28 Geylang,2,3,2008,Novelty Singapore Pte Ltd,Atrium Residences,Aljunied MRT,Geylang,5.33,Condominium,4800,900,NA,Freehold,142,47,28,20,"2, 3 BR",Fully,High,NA,South West,No
 D14 - Eunos / Geylang / Paya Lebar ,43 Lengkong Empat,3,2,2003,NA,D - Heritage Apartments,Kembangan MRT,Bedok,4.44,Apartment,4000,900,NA,Freehold,19,46,43,37,"2, 4 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,84 Dakota Crescent,2,2,2013,UOL Group Limited,Waterbank At Dakota,Dakota MRT,Geylang,5.66,Condominium,5000,883,NA,99 Years,616,49,29,24,"1, 2, 3, 4 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,84 Dakota Crescent,2,2,2013,UOL Group Limited,Waterbank At Dakota,Dakota MRT,Geylang,5.67,Condominium,5000,882,NA,99 Years,616,49,29,24,"1, 2, 3, 4 BR",Unfurnished,NA,NA,West,No
 D14 - Eunos / Geylang / Paya Lebar ,9 Geylang East Avenue 1,2,3,2018,NA,TRE Residences,Aljunied MRT,Geylang,5.67,Condominium,4880,861,NA,99 Years,250,44,25,17,"Studio, 1, 2, 3, 4 BR",Fully,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,7 Geylang East Avenue 1,2,3,2018,NA,TRE Residences,Aljunied MRT,Geylang,5.68,Condominium,4888,861,NA,99 Years,250,44,25,17,"Studio, 1, 2, 3, 4 BR",Partial,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,916 Sims Avenue,2,2,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,6.16,Condominium,5300,861,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,906 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,6.48,Condominium,5510,850,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,38 Lorong 30 Geylang,1,1,2015,Macly Equity Pte Ltd,Guillemard Edge,Dakota MRT,Geylang,4.47,Condominium,3800,850,NA,Freehold,275,51,33,25,"1, 2 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,916 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,5.95,Condominium,5000,840,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,916 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,6.31,Condominium,5300,840,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,900 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,6.67,Condominium,5600,840,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,910 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,6.9,Condominium,5800,840,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,906 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,6.9,Condominium,5800,840,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,904 Sims Avenue,2,2,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,6.55,Condominium,5500,840,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,900 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,6.55,Condominium,5500,840,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,900 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,6.67,Condominium,5600,840,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",Partial,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,916 Sims Avenue,2,2,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,6.55,Condominium,5500,840,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,916 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,7.14,Condominium,6000,840,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D14 - Eunos / Geylang / Paya Lebar ,916 Sims Avenue,2,3,2022,MCL Land Limited,Parc Esta,Eunos MRT,Geylang,6.91,Condominium,5800,839,NA,99 Years,1399,37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,No
