Property.Name.,Property.Type.,Asking.,PSF.,Built.Year.,Model.,Developer.,Address.,District.,Bedrooms.,Bathrooms.,Floor.,Area.,Tenure.,No..of.Units.,Facilities,Trains..MRT...LRT.,Bus.Stops,Primary.Schools,Secondary.Schools,Shopping.Malls,Furnish.,Integrated.Schools,HDB.Town.,lon,lat
57 @ Kovan,Apartment,"$3,280,000 "," $1,172 psf (Built-up) ",2012,Penthouse,Sun Fong Trading Pte Ltd,57 Kovan Road (548147), D19 - Hougang / Punggol / Sengkang ,4,5,PENTHOUSE," 2,799 sqft (Built-up) ",FREEHOLD,10,"City View, Renovated, Air Conditioning, Cooker Hob/hood, Water Heater, Bathtub, Balcony","KOVAN MRT 5 mins  NE13 460m, SERANGOON MRT 13 mins  CC13NE12 1.1 km, BARTLEY MRT 20 mins  CC12 1.65 km","The Helping Hand 1 min  808182101107107M136153 140m, Opp The Helping Hand 2 mins  136153101107107M808182 200m","Paya Lebar Methodist Girls' School (primary) 980m, Xinghua Primary 1.12 km, Zhonghua Primary 1.23 km","Paya Lebar Methodist Girls' School (secondary) 930m, Yuying Secondary 1.09 km, Peicai Secondary 1.13 km","ICB SHOPPING CENTRE 430m, UPPER SERANGOON SHOPPING CENTRE 470m, HEARTLAND MALL-KOVAN 590m",NA,Maris Stella High School 1.81 km,NA,103.8805273,1.3573169
Kingsford Waterbay,Apartment,"$1,186,000 "," $1,148 psf (Built-up) ",NA,Apartment,Kingsford Property Development Pte Ltd,50 Upper Serangoon View (533893), D19 - Hougang / Punggol / Sengkang ,3,3,NA," 1,033 sqft (Built-up) ",LEASEHOLD/99 years,1165,"Original Condition, Swimming Pool View, Sea View, Cooker Hob/hood, Water Heater, Intercom, Balcony"," 13 mins   1.06 km, KANGKAR LRT 14 mins  SE4 1.14 km, RANGGUNG LRT 14 mins  SE5 1.16 km","Opp S'goon Sec Sch 1 min  324 30m, Serangoon Sec Sch 2 mins  6262A102136 210m, Opp Serangoon Sec Sch 3 mins  1361026N62 250m","Chij Our Lady Of The Nativity 620m, Punggol Primary 1.01 km, North Vista Primary 1.22 km","Serangoon Secondary 110m, Holy Innocents' High 810m, North Vista Secondary 860m","THE MIDTOWN 970m, Eastpoint Mall 1.06 km, Hougang Mall 1.06 km",Partially Furnished,NA,NA,103.9036684,1.3753136
Teck Whye Avenue,HDB 4 Rooms,"$345,000 ", $311 psf (Built-up) ,1984,Model A,NA,1 Teck Whye Avenue (680001),NA,3,2,MID, 103 sqm (Built-up) ,LEASEHOLD/99 years,NA,"Corner Unit, Park/greenery View, Air Conditioning, Water Heater","KEAT HONG LRT 6 mins  BP3 540m, TECK WHYE LRT 8 mins  BP4 680m,  8 mins   690m","Choa Chu Kang Polyclinic 1 min  975982E985190190A307 100m, Opp Choa Chu Kang Polyclinic 1 min  307975975A982E985190NR3 120m","Teck Whye Primary 220m, South View Primary 610m, West View Primary 960m","Chua Chu Kang Secondary 70m, Teck Whye Secondary 410m, West Spring Secondary 1.11 km","TECK WHYE SHOPPING CENTRE 290m, LOT ONE, SHOPPERS' MALL 790m, Lot One Shoppers' Mall 800m",NA,NA, Choa Chu Kang ,103.7517712,1.3825654
Opera Estate,Detached,"$8,800,000 "," $1,467 psf (Land) / $1,467 psf (Built-up) ",2003,Detached,NA,Tosca Street, D15 - East Coast / Marine Parade ,6,7,NA," 5,997 sqft (Land) /  6,000 sqft (Built-up) ",FREEHOLD,182,"Renovated, Park/greenery View, Original Condition, Jacuzzi, Water Heater, Hairdryer, Walk-in-wardrobe, Outdoor Patio, Maidsroom, Terrace, Private Garden","BEDOK MRT 10 mins  EW5 800m, SIGLAP MRT DUE 2023 10 mins  TE28 830m, BAYSHORE MRT DUE 2023 19 mins  TE29 1.57 km",NA,"Opera Estate Primary 590m, St. Stephen's 1.23 km, Bedok Green Primary 1.31 km","Temasek Junior College 830m, Victoria 980m, Ping Yi Secondary 1.39 km","SIGLAP SHOPPING CENTRE 650m, BEDOK MALL 860m, BEDOK POINT 970m",NA,Temasek Junior College 830m,NA,-81.0286237,29.0290136
6 Derbyshire,Condominium,"$1,765,000 "," $2,129 psf (Built-up) ",2017,Condominium,Fantasia (Novena) Pte Ltd,6 Derbyshire Road (309462), D11 - Newton / Novena ,2,2,MID, 829 sqft (Built-up) ,FREEHOLD,168,"Bbq Pits, Pavilion, Reflective Pool, Community Sky Garden, Spa Pool, Children Playground, Simming Pool, Gymnasium, City View, Air Conditioning, Cooker Hob/hood, Intercom, Water Heater, Balcony","NOVENA MRT 7 mins  NS20 590m, FARRER PARK VIEW 10 mins  NE8 840m, NEWTON MRT 12 mins  DT11NS21 990m","Opp Carlisle Rd 1 min  131141 100m, Bef Carlisle Rd 1 min  141131 120m, Opp United Sq 1 min  9808511311411665657 150m","St. Joseph's Institution Junior 220m, Farrer Park Primary 650m, Anglo-chinese School (junior) 880m","Balestier Hill Secondary 990m, Northlight 1.14 km, Anglo-chinese School (barker Road) 1.22 km","United Square Shopping Mall 350m, GOLDHILL SHOPPING CENTRE 370m, VELOCITY @ NOVENA SQUARE 500m",Partially Furnished,"School Of The Arts, Singapore 1.85 km",NA,103.8459867,1.3157676
Symphony Suites,Condominium,"$1,000,000 ", $978 psf (Built-up) ,2018,Condominium,EL Development (Yishun) Pte Ltd,5 Yishun Close (768006), D27 - Sembawang / Yishun ,4,3,HIGH," 1,023 sqft (Built-up) ",LEASEHOLD/99 years,660,"Corner Unit, Park/greenery View, Sea View, Renovated, Swimming Pool View, City View, Air Conditioning, Bathtub, Cooker Hob/hood, Water Heater, Balcony, Bombshelter, Maidsroom","YISHUN MRT 15 mins  NS13 1.22 km, CANBERRA U+C (NS12) 24 mins  NS12 1.96 km",Bet Blks 318A/318B 1 min  803 110m,"Chongfu 690m, Xishan Primary 760m, Huamin Primary 910m","Northland Secondary 480m, Yishun Town Secondary 760m, North View Secondary 870m","JUNCTION NINE 380m, Northpoint 1.13 km, NORTHPOINT SHOPPING CENTRE 1.13 km",NA,NA,NA,103.8439026,1.4349465
Opera Estate,Semi-Detached,"$6,180,000 "," $1,207 psf (Land) / $1,373 psf (Built-up) ",2003,Semi-detached,NA,Fidelio Street, D15 - East Coast / Marine Parade ,6,NA,NA," 5,118 sqft (Land) /  4,500 sqft (Built-up) ",FREEHOLD,182,"Renovated, Park/greenery View, City View, Air Conditioning, Corner Unit, Water Heater, Bathtub, Cooker Hob/hood, Air Conditioning, Walk-in-wardrobe, Roof Terrace, Maidsroom, Private Garden","KEMBANGAN MRT 11 mins  EW6 910m, BEDOK MRT 14 mins  EW5 1.12 km, SIGLAP MRT DUE 2023 18 mins  TE28 1.49 km","Bef Jln Khairuddin 1 min  42 130m, Flamingo Valley 2 mins  4042401 230m","Opera Estate Primary 310m, St. Stephen's 430m, East Coast Primary 1.09 km","Ping Yi Secondary 820m, St. Patrick's 1.38 km, Victoria 1.47 km","SIGLAP SHOPPING CENTRE 850m, BEDOK MALL 1.07 km, BEDOK POINT 1.39 km",NA,Temasek Junior College 1.63 km,NA,103.9252278,1.3189097
Sophia Hills,Condominium,"$1,380,000 "," $2,464 psf (Built-up) ",NA,Condominium,Hoi Hup Sunway Mount Sophia Pte Ltd,5 Mount Sophia (228453), D9 - Orchard / River Valley ,1+1,1,LOW, 560 sqft (Built-up) ,LEASEHOLD/99 years,493,"Conserved Building: Childcare/kindergarten, Residents' Side Gate, Children's Water Play, Internet Corner, Fitness Stations, Vantage Deck, Substation, Bbq Corner, Lounge, Timber Deck, Function Rooms, Management Office, Reflective Pool, Sunning Deck, Mountain Terraces, Steps Cascades, Bio-pond, The Sophia Grand Staircase, Seating Corner, Clubhouse Drop-off Plaza, Multi-purpose Media Room, Male And Female Changing And Steam Rooms, Adventure Playground, Childcare Drop-off Plaza, Jacuzzi, Pavilion, Games Room, Toddler's Playground, Main Entrance Drop-off Plaza, Guardhouse, Children's Pool, The Sophia Mirror Pool, Conserved Building: Restaurant, 50M Lap Pool, Water Cascades, Water Wall, Yoga Decks, Bin Centre, Gymnasium, Lagoon Pool, Jogging Path, Park/greenery View, Original Condition, Renovated, Intercom, Cooker Hob/hood, Air Conditioning","DHOBY GHAUT MRT 4 mins  CC1NS24NE6 330m, BENCOOLEN MRT 6 mins  DT21 500m, BRAS BASAH MRT 7 mins  CC2 630m",NA,"St. Margaret's Primary 230m, Anglo-chinese School (junior) 970m, Stamford Primary 1.16 km","School Of The Arts, Singapore 340m","Plaza Singapura 210m, PARKLANE SHOPPING MALL 320m, Paradiz 330m",Fully Furnished,"School Of The Arts, Singapore 340m",NA,103.846427,1.3014092
The Arcadia,Condominium,"$6,900,000 ", $920 psf (Built-up) ,1983,Condominium,Arcadia Gardens Pte Ltd,235 Arcadia Road (289843), D11 - Newton / Novena ,4,6,PENTHOUSE," 7,503 sqft (Built-up) ",LEASEHOLD/99 years,164,"Wadpool, Tennis Court, Squash Court, Securities, Swimming Pool, Car Park, Club House, Park/greenery View, Bathtub, Cooker Hob/hood, Air Conditioning, Water Heater, Flooring For Living/dining, Kitchen, Air-conditioning, Flooring For Bedroom, Maidsroom, Roof Terrace","TAN KAH KEE MRT DUE 2016 12 mins  DT8 960m, BOTANIC GARDENS MRT 16 mins  CC19DT9 1.32 km, SIXTH AVENUE MRT DUE 2016 19 mins  DT7 1.59 km",NA,"Raffles Girls' Primary 670m, Nanyang Primary 1.45 km","National Junior College 870m, Nanyang Girls' High 1.03 km, Hwa Chong Institution 1.19 km",CORONATION SHOPPING PLAZA 1.07 km,Partially Furnished,"National Junior College 870m, Hwa Chong Institution 1.19 km",NA,103.8108592,1.3343434
Compassvale Crescent,HDB 5 Rooms,"$400,000 ", $338 psf (Built-up) ,2001,Improved,NA,290B Compassvale Crescent (542290),NA,3,2,LOW, 110 sqm (Built-up) ,LEASEHOLD/99 years,NA,"Park/greenery View, Renovated, City View, Corner Unit, Air Conditioning, Cooker Hob/hood, Water Heater, Bombshelter"," 4 mins   370m, CHENG LIM LRT 4 mins  SW1 380m,  6 mins   480m","Blk 291A 2 mins  83 180m, Opp Blk 291A 2 mins  83 210m, Blk 286B 2 mins  1091194343M 210m","Compassvale Primary 300m, Punggol Green Primary 570m, Springdale Primary 830m","Compassvale Secondary 330m, Edgefield Secondary 670m, Chij St. Joseph's Convent 840m","COMPASS ONE 590m, Compass Point 600m, Rivervale Mall 990m",Partially Furnished,NA, Sengkang ,103.896838,1.396847
