Property.Name.,Property.Type.,Asking.,PSF.,Built.Year.,Model.,Developer.,Address.,District.,Bedrooms.,Bathrooms.,Floor.,Area.,Tenure.,No..of.Units.,Facilities,Trains..MRT...LRT.,Bus.Stops,Primary.Schools,Secondary.Schools,Shopping.Malls,Furnish.,Integrated.Schools,HDB.Town.,lon,lat
Laverne's Loft,Apartment,"$1,300,000 "," $1,041 psf (Built-up) ",2013,Penthouse,Asimont Holdings Pte Ltd,66 Lorong L Telok Kurau (425509), D15 - East Coast / Marine Parade ,2,2,5," 1,249 sqft (Built-up) ",FREEHOLD,44,"Renovated, City View, Jacuzzi, Air Conditioning, Cooker Hob/hood, Water Heater, Balcony","MARINE TERRACE MRT DUE 2023 9 mins  TE27 780m, MARINE PARADE MRT DUE 2023 11 mins  TE26 940m, KEMBANGAN MRT 14 mins  EW6 1.12 km","Tandeville 1 min  15155150 100m, Opp Tandeville 1 min  150155155A15 130m, Bef Lor K Telok Kurau 1 min  15150155 150m","Chij (katong) Primary 530m, Tao Nan 680m, Ngee Ann Primary 1.05 km","St. Patrick's 900m, Tanjong Katong Secondary 1.48 km, Tanjong Katong Girls' 1.64 km","112 KATONG 900m, KATONG V 1.17 km, Parkway Parade 1.27 km",NA,NA,NA,103.9102188,1.3112504
V on Shenton,Apartment,"$3,888,000 "," $2,215 psf (Built-up) ",2017,Apartment,UIC Investments (Properties) Pte Ltd,5 Shenton Way (068808), D1 - Boat Quay / Raffles Place / Marina ,3,NA,40," 1,755 sqft (Built-up) ",LEASEHOLD/99 years,510,"Spa Pool, Outback Grill, Splash Zone, Playscape, Spice Botanics, Sun Deck, Epicurean Dining, Club Lounge, Day Bed Island, Aqua Gym, Garden Lounge, Refreshment Bar, Cloves Hedge, Bubbly Bay, Cinnamon Scent, Junior Pool, Outdoor Fitness, Surf Lounge, Indoor Gymnasium, City View, Air Conditioning, Cooker Hob/hood, Bathtub, Balcony","SHENTON WAY MRT DUE 2021 1 min  TE19 100m, TANJONG PAGAR MRT 4 mins  EW15 360m, DOWNTOWN MRT 5 mins  DT17 440m","UIC Bldg 1 min  571010e75701671621001061071281301311339797e970971E982E186196196e400402502513700850E951E 70m, Aft Capital Twr 1 min  868951E982E850E196196e513701010e759797e162128130133100106107 150m, Opp GB Bldg 3 mins  131186167400402700970971E57 240m",Cantonment Primary 1.07 km,Outram Secondary 1.69 km,"MARINA ONE WEST TOWER 330m, MARINA ONE EAST TOWER 380m, TANJONG PAGAR CENTRE 480m",NA,NA,NA,103.8494332,1.2775804
Marina One Residences,Apartment,"$2,793,950 "," $2,497 psf (Built-up) ",NA,Apartment,MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd,21 Marina Way (018978), D1 - Boat Quay / Raffles Place / Marina ,2,NA,28," 1,119 sqft (Built-up) ",LEASEHOLD/99 years,1042,"Renovated, Park/greenery View, Original Condition, Intercom, Cooker Hob/hood, Water Heater, Air Conditioning, Balcony, Walk-in-wardrobe","MARINA BAY MRT 1 min  CE2NS27TE20 140m, DOWNTOWN MRT 3 mins  DT17 310m, SHENTON WAY MRT DUE 2021 4 mins  TE19 380m",NA,Cantonment Primary 1.49 km,NA,"MARINA ONE WEST TOWER 130m, MARINA ONE EAST TOWER 140m, MARINA BAY FINANCIAL CENTRE (TOWER 3) 300m",NA,NA,NA,103.8533256,1.2766721
Queens Peak,Condominium,"$1,368,000 "," $1,765 psf (Built-up) ",2020,Condominium,HY Realty (Dundee) Pte Ltd,1 Dundee Road (149456), D3 - Alexandra / Commonwealth ,2,2,22, 775 sqft (Built-up) ,LEASEHOLD/99 years,736,"Original Condition, Park/greenery View, Air Conditioning, Intercom, Water Heater, Cooker Hob/hood, Balcony, Walk-in-wardrobe","QUEENSTOWN MRT 1 min  EW19 90m, REDHILL MRT 15 mins  EW18 1.24 km, COMMONWEALTH MRT 16 mins  EW20 1.28 km","Queenstown Stn 1 min  51111145970186195 90m, Queenstown Stn 1 min  195970NR551145111186 100m, Blk 53A CP 2 mins  14511118697051 200m","Queenstown Primary 180m, New Town Primary 910m, Gan Eng Seng Primary 1.42 km","Queenstown Secondary 730m, Queensway Secondary 780m, Crescent Girls' 1.21 km","DAWSON PLACE 530m, Anchorpoint 720m, ANCHORPOINT SHOPPING CENTRE 720m",Partially Furnished,NA,NA,103.8070953,1.2950313
Gem Residences,Condominium,"$1,642,000 "," $1,734 psf (Built-up) ",2020,Condominium,GEM Homes Pte Ltd,1 Lorong 5 Toa Payoh (319458), D12 - Balestier / Toa Payoh ,3,1,9, 947 sqft (Built-up) ,LEASEHOLD/99 years,578,"City View, Original Condition, Air Conditioning, Intercom, Cooker Hob/hood, Water Heater, Balcony, Walk-in-wardrobe","BRADDELL MRT 6 mins  NS18 530m, TOA PAYOH MRT 10 mins  NS19 800m, CALDECOTT MRT 15 mins  CC17TE9 1.26 km","Blk 52 2 mins  232 210m, Toa Payoh Police Ctr 2 mins  59231232129 210m, Blk 56 2 mins  23128735688105155157159163153 220m","Kheng Cheng 440m, First Toa Payoh Primary 550m, Pei Chun Public 560m","Beatty Secondary 360m, Guangyang Secondary 660m, Raffles Institution 950m","Hdb Hub 790m, Junction 8 1.33 km, JUNCTION 8 SHOPPING CENTRE 1.34 km",Partially Furnished,"Raffles Institution 950m, St. Joseph's Institution 1.49 km, Catholic High School 1.9 km",NA,103.8531666,1.3336887
Duo Residences,Apartment,"$4,215,100 "," $2,759 psf (Built-up) ",2017,Apartment,Ophir-Rochor Residential Pte. Ltd.,1 Fraser Street (189350), D7 - Beach Road / Bugis / Rochor ,3,3,40," 1,528 sqft (Built-up) ",LEASEHOLD/99 years,660,"50M Lap Pool With Spa Seats, Jacuzzi, Aqua Gym Equipment, Reflective Pool, Sun Deck, Teppanyaki Terraces, Patio Gym, Kid's Play Area, Sky Pool, Children's Pool, Function Room, Gymnasium, Outdoor Living Room, Original Condition, Park/greenery View, Air Conditioning, Water Heater, Intercom, Cooker Hob/hood, Balcony, Walk-in-wardrobe","BUGIS MRT 2 mins  DT14EW12 160m, NICOLL HIGHWAY MRT 7 mins  CC5 580m, JALAN BESAR MRT 8 mins  DT22 650m","Parkview Sq 1 min  14517551803263761197851 30m, Aft Beach Rd 1 min  4857 140m, Bugis Stn 1 min  13013321233960 150m","Stamford Primary 420m, St. Margaret's Primary 1.28 km, Farrer Park Primary 1.55 km","School Of The Arts, Singapore 960m","DUO TOWER AND DUO GALLERIA, MIXED-USE DEVELOPMENT AT OPHIR-ROCHOR, SINGAPORE (COMMERCIAL) (GREEN MARK BUILDINGS) 130m, BUGIS POINT 190m, BUGIS VILLAGE 240m",Partially Furnished,"School Of The Arts, Singapore 960m",NA,103.858441,1.2994723
Queens Peak,Condominium,"$1,423,000 "," $1,503 psf (Built-up) ",NA,Condominium,HY Realty (Dundee) Pte Ltd,1 Dundee Road (149456), D3 - Alexandra / Commonwealth ,3,2,24, 947 sqft (Built-up) ,LEASEHOLD/99 years,736,"Corner Unit, Renovated, City View, Air Conditioning, Cooker Hob/hood, Private Lift, Balcony","QUEENSTOWN MRT 1 min  EW19 90m, REDHILL MRT 15 mins  EW18 1.24 km, COMMONWEALTH MRT 16 mins  EW20 1.28 km","Queenstown Stn 1 min  51111145970186195 90m, Queenstown Stn 1 min  195970NR551145111186 100m, Blk 53A CP 2 mins  14511118697051 200m","Queenstown Primary 180m, New Town Primary 910m, Gan Eng Seng Primary 1.42 km","Queenstown Secondary 730m, Queensway Secondary 780m, Crescent Girls' 1.21 km","DAWSON PLACE 530m, Anchorpoint 720m, ANCHORPOINT SHOPPING CENTRE 720m",NA,NA,NA,103.8070953,1.2950313
Gem Residences,Condominium,"$1,640,000 "," $1,732 psf (Built-up) ",NA,Condominium,GEM Homes Pte Ltd,3 Lorong 5 Toa Payoh (319459), D12 - Balestier / Toa Payoh ,3,2,26, 947 sqft (Built-up) ,LEASEHOLD/99 years,578,"Park/greenery View, Renovated, City View, Air Conditioning, Water Heater, Intercom, Cooker Hob/hood, Balcony","BRADDELL MRT 7 mins  NS18 570m, TOA PAYOH MRT 11 mins  NS19 880m, CALDECOTT MRT 16 mins  CC17TE9 1.33 km","Blk 52 2 mins  232 160m, Blk 237 2 mins  NR1129155155A157159163105153885657592873 170m, Blk 1 2 mins  735657592888155157159163129153105 190m","First Toa Payoh Primary 480m, Kheng Cheng 520m, Pei Chun Public 520m","Beatty Secondary 290m, Guangyang Secondary 610m, Raffles Institution 940m","Hdb Hub 860m, Junction 8 1.28 km, JUNCTION 8 SHOPPING CENTRE 1.3 km",NA,"Raffles Institution 940m, St. Joseph's Institution 1.42 km, Catholic High School 1.86 km",NA,103.8486493,1.3377967
Marina One Residences,Apartment,"$3,577,000 "," $2,356 psf (Built-up) ",2017,Apartment,MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd,21 Marina Way (018978), D1 - Boat Quay / Raffles Place / Marina ,3,3,21," 1,518 sqft (Built-up) ",LEASEHOLD/99 years,1042,"Corner Unit, Park/greenery View, Sea View, City View, Air Conditioning, Intercom, Water Heater, Cooker Hob/hood, Private Lift, Bathtub, Balcony, Walk-in-wardrobe, Maidsroom","MARINA BAY MRT 1 min  CE2NS27TE20 140m, DOWNTOWN MRT 3 mins  DT17 310m, SHENTON WAY MRT DUE 2021 4 mins  TE19 380m",NA,Cantonment Primary 1.49 km,NA,"MARINA ONE WEST TOWER 130m, MARINA ONE EAST TOWER 140m, MARINA BAY FINANCIAL CENTRE (TOWER 3) 300m",Partially Furnished,NA,NA,103.8533256,1.2766721
Duo Residences,Apartment,"$4,040,000 "," $2,097 psf (Built-up) ",2017,Apartment,Ophir-Rochor Residential Pte. Ltd.,1 Fraser Street (189350), D7 - Beach Road / Bugis / Rochor ,4,4,48," 1,927 sqft (Built-up) ",LEASEHOLD/99 years,660,"Aqua Gym Equipment, Reflective Pool, Outdoor Living Room, Jacuzzi, Function Room, Children's Pool, Patio Gym, Gymnasium, Sun Deck, 50M Lap Pool With Spa Seats, Sky Pool, Teppanyaki Terraces, Kid's Play Area, Corner Unit, City View, Colonial Building, Swimming Pool View, Sea View, Park/greenery View, Air Conditioning, Cooker Hob/hood, Bathtub, Water Heater, Intercom, Balcony, Maidsroom","BUGIS MRT 2 mins  DT14EW12 160m, NICOLL HIGHWAY MRT 7 mins  CC5 580m, JALAN BESAR MRT 8 mins  DT22 650m","Parkview Sq 1 min  14517551803263761197851 30m, Aft Beach Rd 1 min  4857 140m, Bugis Stn 1 min  13013321233960 150m","Stamford Primary 420m, St. Margaret's Primary 1.28 km, Farrer Park Primary 1.55 km","School Of The Arts, Singapore 960m","DUO TOWER AND DUO GALLERIA, MIXED-USE DEVELOPMENT AT OPHIR-ROCHOR, SINGAPORE (COMMERCIAL) (GREEN MARK BUILDINGS) 130m, BUGIS POINT 190m, BUGIS VILLAGE 240m",Partially Furnished,"School Of The Arts, Singapore 960m",NA,103.858441,1.2994723
Duo Residences,Apartment,"$4,797,900 "," $3,140 psf (Built-up) ",NA,Apartment,Ophir-Rochor Residential Pte. Ltd.,1 Fraser Street (189350), D7 - Beach Road / Bugis / Rochor ,4,3,43," 1,528 sqft (Built-up) ",LEASEHOLD/99 years,660,"Gymnasium, Sky Pool, Outdoor Living Room, Aqua Gym Equipment, Patio Gym, Sun Deck, Kid's Play Area, Reflective Pool, Jacuzzi, Teppanyaki Terraces, Function Room, Children's Pool, 50M Lap Pool With Spa Seats, City View, Original Condition, Park/greenery View, Air Conditioning, Cooker Hob/hood, Intercom, Jacuzzi, Water Heater, Balcony, Walk-in-wardrobe","BUGIS MRT 2 mins  DT14EW12 160m, NICOLL HIGHWAY MRT 7 mins  CC5 580m, JALAN BESAR MRT 8 mins  DT22 650m","Parkview Sq 1 min  14517551803263761197851 30m, Aft Beach Rd 1 min  4857 140m, Bugis Stn 1 min  13013321233960 150m","Stamford Primary 420m, St. Margaret's Primary 1.28 km, Farrer Park Primary 1.55 km","School Of The Arts, Singapore 960m","DUO TOWER AND DUO GALLERIA, MIXED-USE DEVELOPMENT AT OPHIR-ROCHOR, SINGAPORE (COMMERCIAL) (GREEN MARK BUILDINGS) 130m, BUGIS POINT 190m, BUGIS VILLAGE 240m",Partially Furnished,"School Of The Arts, Singapore 960m",NA,103.858441,1.2994723
Duo Residences,Apartment,"$3,727,232 "," $1,934 psf (Built-up) ",2017,Apartment,Ophir-Rochor Residential Pte. Ltd.,1 Fraser Street (189350), D7 - Beach Road / Bugis / Rochor ,4+1,4,47," 1,927 sqft (Built-up) ",LEASEHOLD/99 years,660,"Kid's Play Area, Sky Pool, Jacuzzi, Gymnasium, 50M Lap Pool With Spa Seats, Sun Deck, Patio Gym, Function Room, Aqua Gym Equipment, Children's Pool, Teppanyaki Terraces, Outdoor Living Room, Reflective Pool, Corner Unit, City View, Renovated, Air Conditioning, Hairdryer, Intercom, Water Heater, Cooker Hob/hood, Balcony, Maidsroom, Walk-in-wardrobe","BUGIS MRT 2 mins  DT14EW12 160m, NICOLL HIGHWAY MRT 7 mins  CC5 580m, JALAN BESAR MRT 8 mins  DT22 650m","Parkview Sq 1 min  14517551803263761197851 30m, Aft Beach Rd 1 min  4857 140m, Bugis Stn 1 min  13013321233960 150m","Stamford Primary 420m, St. Margaret's Primary 1.28 km, Farrer Park Primary 1.55 km","School Of The Arts, Singapore 960m","DUO TOWER AND DUO GALLERIA, MIXED-USE DEVELOPMENT AT OPHIR-ROCHOR, SINGAPORE (COMMERCIAL) (GREEN MARK BUILDINGS) 130m, BUGIS POINT 190m, BUGIS VILLAGE 240m",Partially Furnished,"School Of The Arts, Singapore 960m",NA,103.858441,1.2994723
6 Derbyshire,Condominium,"$1,774,128 "," $3,743 psf (Built-up) ",2017,Condominium,Fantasia (Novena) Pte Ltd,6 Derbyshire Road (309462), D11 - Newton / Novena ,1,1,11, 474 sqft (Built-up) ,FREEHOLD,168,"Gymnasium, Spa Pool, Simming Pool, Reflective Pool, Pavilion, Community Sky Garden, Bbq Pits, Children Playground, Park/greenery View, Original Condition, Air Conditioning, Hairdryer, Intercom, Water Heater, Cooker Hob/hood, Balcony, Walk-in-wardrobe","NOVENA MRT 7 mins  NS20 590m, FARRER PARK VIEW 10 mins  NE8 840m, NEWTON MRT 12 mins  DT11NS21 990m","Opp Carlisle Rd 1 min  131141 100m, Bef Carlisle Rd 1 min  141131 120m, Opp United Sq 1 min  9808511311411665657 150m","St. Joseph's Institution Junior 220m, Farrer Park Primary 650m, Anglo-chinese School (junior) 880m","Balestier Hill Secondary 990m, Northlight 1.14 km, Anglo-chinese School (barker Road) 1.22 km","United Square Shopping Mall 350m, GOLDHILL SHOPPING CENTRE 370m, VELOCITY @ NOVENA SQUARE 500m",Not Furnished,"School Of The Arts, Singapore 1.85 km",NA,103.8459867,1.3157676
Kingsford Waterbay,Apartment,"$967,877 "," $1,428 psf (Built-up) ",2017,Apartment,Kingsford Property Development Pte Ltd,64 Upper Serangoon View (533886), D19 - Hougang / Punggol / Sengkang ,2,2,2, 678 sqft (Built-up) ,LEASEHOLD/99 years,1165,"Park/greenery View, Original Condition, Hairdryer, Water Heater, Balcony, Walk-in-wardrobe"," 13 mins   1.06 km, KANGKAR LRT 14 mins  SE4 1.14 km, RANGGUNG LRT 14 mins  SE5 1.17 km","Opp S'goon Sec Sch 1 min  324 50m, Serangoon Sec Sch 2 mins  6262A102136 230m","Chij Our Lady Of The Nativity 650m, Punggol Primary 1.04 km, North Vista Primary 1.23 km","Serangoon Secondary 130m, Holy Innocents' High 840m, North Vista Secondary 870m","THE MIDTOWN 1.0 km, Eastpoint Mall 1.08 km, Hougang Mall 1.08 km",Partially Furnished,NA,NA,103.9026769,1.3735866
Kingsford Waterbay,Apartment,"$1,115,341 "," $1,312 psf (Built-up) ",2017,Apartment,Kingsford Property Development Pte Ltd,64 Upper Serangoon View (533886), D19 - Hougang / Punggol / Sengkang ,3,2,8, 850 sqft (Built-up) ,LEASEHOLD/99 years,1165,"Original Condition, Park/greenery View, Air Conditioning, Intercom, Water Heater, Cooker Hob/hood, Balcony, Walk-in-wardrobe"," 13 mins   1.06 km, KANGKAR LRT 14 mins  SE4 1.14 km, RANGGUNG LRT 14 mins  SE5 1.17 km","Opp S'goon Sec Sch 1 min  324 50m, Serangoon Sec Sch 2 mins  6262A102136 230m","Chij Our Lady Of The Nativity 650m, Punggol Primary 1.04 km, North Vista Primary 1.23 km","Serangoon Secondary 130m, Holy Innocents' High 840m, North Vista Secondary 870m","THE MIDTOWN 1.0 km, Eastpoint Mall 1.08 km, Hougang Mall 1.08 km",Partially Furnished,NA,NA,103.9026769,1.3735866
6 Derbyshire,Condominium,"$1,774,128 "," $3,743 psf (Built-up) ",2017,Condominium,Fantasia (Novena) Pte Ltd,6 Derbyshire Road (309462), D11 - Newton / Novena ,1,1,14, 474 sqft (Built-up) ,FREEHOLD,168,"Bbq Pits, Simming Pool, Spa Pool, Children Playground, Community Sky Garden, Reflective Pool, Pavilion, Gymnasium, Renovated, Park/greenery View, Intercom, Cooker Hob/hood, Water Heater, Air Conditioning, Balcony, Walk-in-wardrobe","NOVENA MRT 7 mins  NS20 590m, FARRER PARK VIEW 10 mins  NE8 840m, NEWTON MRT 12 mins  DT11NS21 990m","Opp Carlisle Rd 1 min  131141 100m, Bef Carlisle Rd 1 min  141131 120m, Opp United Sq 1 min  9808511311411665657 150m","St. Joseph's Institution Junior 220m, Farrer Park Primary 650m, Anglo-chinese School (junior) 880m","Balestier Hill Secondary 990m, Northlight 1.14 km, Anglo-chinese School (barker Road) 1.22 km","United Square Shopping Mall 350m, GOLDHILL SHOPPING CENTRE 370m, VELOCITY @ NOVENA SQUARE 500m",Not Furnished,"School Of The Arts, Singapore 1.85 km",NA,103.8459867,1.3157676
Gem Residences,Condominium,"$1,642,000 "," $1,734 psf (Built-up) ",2020,Condominium,GEM Homes Pte Ltd,1 Lorong 5 Toa Payoh (319458), D12 - Balestier / Toa Payoh ,3,2,9, 947 sqft (Built-up) ,LEASEHOLD/99 years,578,"Original Condition, Park/greenery View, Swimming Pool View, Intercom, Water Heater, Air Conditioning, Cooker Hob/hood, Balcony, Walk-in-wardrobe","BRADDELL MRT 6 mins  NS18 530m, TOA PAYOH MRT 10 mins  NS19 800m, CALDECOTT MRT 15 mins  CC17TE9 1.26 km","Blk 52 2 mins  232 210m, Toa Payoh Police Ctr 2 mins  59231232129 210m, Blk 56 2 mins  23128735688105155157159163153 220m","Kheng Cheng 440m, First Toa Payoh Primary 550m, Pei Chun Public 560m","Beatty Secondary 360m, Guangyang Secondary 660m, Raffles Institution 950m","Hdb Hub 790m, Junction 8 1.33 km, JUNCTION 8 SHOPPING CENTRE 1.34 km",Partially Furnished,"Raffles Institution 950m, St. Joseph's Institution 1.49 km, Catholic High School 1.9 km",NA,103.8531666,1.3336887
Duo Residences,Apartment,"$4,347,088 "," $2,361 psf (Built-up) ",2017,Apartment,Ophir-Rochor Residential Pte. Ltd.,1 Fraser Street (189350), D7 - Beach Road / Bugis / Rochor ,4,3,41," 1,841 sqft (Built-up) ",LEASEHOLD/99 years,660,"Jacuzzi, Patio Gym, Aqua Gym Equipment, Children's Pool, Kid's Play Area, Teppanyaki Terraces, Sun Deck, Reflective Pool, Gymnasium, Sky Pool, Function Room, Outdoor Living Room, 50M Lap Pool With Spa Seats, Original Condition, City View, Air Conditioning, Intercom, Cooker Hob/hood, Balcony","BUGIS MRT 2 mins  DT14EW12 160m, NICOLL HIGHWAY MRT 7 mins  CC5 580m, JALAN BESAR MRT 8 mins  DT22 650m","Parkview Sq 1 min  14517551803263761197851 30m, Aft Beach Rd 1 min  4857 140m, Bugis Stn 1 min  13013321233960 150m","Stamford Primary 420m, St. Margaret's Primary 1.28 km, Farrer Park Primary 1.55 km","School Of The Arts, Singapore 960m","DUO TOWER AND DUO GALLERIA, MIXED-USE DEVELOPMENT AT OPHIR-ROCHOR, SINGAPORE (COMMERCIAL) (GREEN MARK BUILDINGS) 130m, BUGIS POINT 190m, BUGIS VILLAGE 240m",Partially Furnished,"School Of The Arts, Singapore 960m",NA,103.858441,1.2994723
6 Derbyshire,Condominium,"$1,082,000 "," $2,283 psf (Built-up) ",2017,Condominium,Fantasia (Novena) Pte Ltd,6 Derbyshire Road (309462), D11 - Newton / Novena ,1,1,24, 474 sqft (Built-up) ,FREEHOLD,168,"Pavilion, Children Playground, Community Sky Garden, Simming Pool, Bbq Pits, Spa Pool, Reflective Pool, Gymnasium, Swimming Pool View, Renovated, Park/greenery View, City View, Air Conditioning, Intercom, Cooker Hob/hood, Air Conditioning, Water Heater, Balcony","NOVENA MRT 7 mins  NS20 590m, FARRER PARK VIEW 10 mins  NE8 840m, NEWTON MRT 12 mins  DT11NS21 990m","Opp Carlisle Rd 1 min  131141 100m, Bef Carlisle Rd 1 min  141131 120m, Opp United Sq 1 min  9808511311411665657 150m","St. Joseph's Institution Junior 220m, Farrer Park Primary 650m, Anglo-chinese School (junior) 880m","Balestier Hill Secondary 990m, Northlight 1.14 km, Anglo-chinese School (barker Road) 1.22 km","United Square Shopping Mall 350m, GOLDHILL SHOPPING CENTRE 370m, VELOCITY @ NOVENA SQUARE 500m",Partially Furnished,"School Of The Arts, Singapore 1.85 km",NA,103.8459867,1.3157676
Marina One Residences,Apartment,"$2,793,950 "," $2,497 psf (Built-up) ",NA,Apartment,MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd,21 Marina Way (018978), D1 - Boat Quay / Raffles Place / Marina ,2,2,28," 1,119 sqft (Built-up) ",LEASEHOLD/99 years,1042,"Renovated, Park/greenery View, Original Condition, Intercom, Water Heater, Cooker Hob/hood, Air Conditioning, Balcony, Walk-in-wardrobe","MARINA BAY MRT 1 min  CE2NS27TE20 140m, DOWNTOWN MRT 3 mins  DT17 310m, SHENTON WAY MRT DUE 2021 4 mins  TE19 380m",NA,Cantonment Primary 1.49 km,NA,"MARINA ONE WEST TOWER 130m, MARINA ONE EAST TOWER 140m, MARINA BAY FINANCIAL CENTRE (TOWER 3) 300m",Partially Furnished,NA,NA,103.8533256,1.2766721
The Crest,Condominium,"$3,033,000 "," $1,829 psf (Built-up) ",2018,Condominium,Wingcrown Investment Pte Ltd,101 Prince Charles Crescent (159017), D3 - Alexandra / Commonwealth ,4,4,13," 1,658 sqft (Built-up) ",LEASEHOLD/99 years,469,"Park/greenery View, Original Condition, Corner Unit, Intercom, Water Heater, Air Conditioning, Balcony, Walk-in-wardrobe","REDHILL MRT 6 mins  EW18 540m, TIONG BAHRU MRT 13 mins  EW17 1.06 km, ORCHARD BOULEVARD MRT DUE 2021 14 mins  TE13 1.13 km","Opp Delta Sports Hall 2 mins  51970186139122 160m, Delta Sports Hall 2 mins  12213918651970 200m","Alexandra Primary 420m, Gan Eng Seng Primary 960m, Zhangde Primary 1.14 km","Crescent Girls' 330m, Gan Eng Seng 550m, Queenstown Secondary 810m","VALLEY POINT SHOPPING CENTRE 730m, Valley Point 730m, DAWSON PLACE 1.05 km",Partially Furnished,NA,NA,103.8204034,1.2926928
Sophia Hills,Condominium,"$2,114,000 "," $2,207 psf (Built-up) ",2017,Condominium,Hoi Hup Sunway Mount Sophia Pte Ltd,11 Mount Sophia (228461), D9 - Orchard / River Valley ,3,2,4, 958 sqft (Built-up) ,LEASEHOLD/99 years,493,"Children's Water Play, Substation, Male And Female Changing And Steam Rooms, Conserved Building: Childcare/kindergarten, Reflective Pool, Yoga Decks, Internet Corner, 50M Lap Pool, Clubhouse Drop-off Plaza, Jacuzzi, Bbq Corner, Function Rooms, Pavilion, Seating Corner, Mountain Terraces, Children's Pool, Adventure Playground, Water Cascades, Jogging Path, Childcare Drop-off Plaza, Games Room, Bin Centre, Management Office, Gymnasium, Sunning Deck, Main Entrance Drop-off Plaza, Water Wall, Fitness Stations, Conserved Building: Restaurant, Toddler's Playground, Residents' Side Gate, The Sophia Mirror Pool, Vantage Deck, Lagoon Pool, Timber Deck, Guardhouse, The Sophia Grand Staircase, Lounge, Multi-purpose Media Room, Bio-pond, Steps Cascades, Park/greenery View, Original Condition, City View, Air Conditioning, Intercom, Water Heater, Cooker Hob/hood, Balcony, Walk-in-wardrobe","DHOBY GHAUT MRT 3 mins  CC1NS24NE6 270m, BENCOOLEN MRT 4 mins  DT21 370m, BRAS BASAH MRT 5 mins  CC2 470m","Macdonald Hse 2 mins  139NR6NR76465 160m, Sch of the Arts 3 mins  6465139147166131857NR61N2N3N4N5N6N 240m, Dhoby Ghaut Stn 3 mins  7773636B1414e16162162M124128106111167171174174e175NR6NR7850E1N2N3N4N5N6N971E972972A190190A502502A518518A700700A951E 240m","St. Margaret's Primary 400m, Anglo-chinese School (junior) 1.14 km, Stamford Primary 1.15 km","School Of The Arts, Singapore 190m","Paradiz 230m, POMO 230m, PARKLANE SHOPPING MALL 250m",Partially Furnished,"School Of The Arts, Singapore 190m",NA,103.8471936,1.3002721
Sophia Hills,Condominium,"$2,114,000 "," $2,207 psf (Built-up) ",2017,Condominium,Hoi Hup Sunway Mount Sophia Pte Ltd,11 Mount Sophia (228461), D9 - Orchard / River Valley ,3,2,4, 958 sqft (Built-up) ,LEASEHOLD/99 years,493,"Vantage Deck, Bio-pond, Steps Cascades, Jogging Path, Toddler's Playground, Male And Female Changing And Steam Rooms, Lagoon Pool, Main Entrance Drop-off Plaza, Bbq Corner, Internet Corner, Pavilion, Reflective Pool, Bin Centre, Guardhouse, Multi-purpose Media Room, Conserved Building: Restaurant, Conserved Building: Childcare/kindergarten, Mountain Terraces, The Sophia Mirror Pool, Gymnasium, Function Rooms, Childcare Drop-off Plaza, Water Wall, Children's Pool, Sunning Deck, Children's Water Play, Adventure Playground, 50M Lap Pool, Yoga Decks, Water Cascades, Residents' Side Gate, Jacuzzi, Seating Corner, Games Room, Management Office, Substation, The Sophia Grand Staircase, Clubhouse Drop-off Plaza, Fitness Stations, Lounge, Timber Deck, Park/greenery View, Original Condition, City View, Water Heater, Air Conditioning, Cooker Hob/hood, Intercom, Walk-in-wardrobe, Balcony","DHOBY GHAUT MRT 3 mins  CC1NS24NE6 270m, BENCOOLEN MRT 4 mins  DT21 370m, BRAS BASAH MRT 5 mins  CC2 470m","Macdonald Hse 2 mins  139NR6NR76465 160m, Sch of the Arts 3 mins  6465139147166131857NR61N2N3N4N5N6N 240m, Dhoby Ghaut Stn 3 mins  7773636B1414e16162162M124128106111167171174174e175NR6NR7850E1N2N3N4N5N6N971E972972A190190A502502A518518A700700A951E 240m","St. Margaret's Primary 400m, Anglo-chinese School (junior) 1.14 km, Stamford Primary 1.15 km","School Of The Arts, Singapore 190m","Paradiz 230m, POMO 230m, PARKLANE SHOPPING MALL 250m",Partially Furnished,"School Of The Arts, Singapore 190m",NA,103.8471936,1.3002721
The Crest,Condominium,"$2,133,000 "," $2,279 psf (Built-up) ",2018,Condominium,Wingcrown Investment Pte Ltd,101 Prince Charles Crescent (159017), D3 - Alexandra / Commonwealth ,2,2,13, 936 sqft (Built-up) ,LEASEHOLD/99 years,469,"Renovated, Park/greenery View, Original Condition, Intercom, Cooker Hob/hood, Water Heater, Air Conditioning, Balcony, Walk-in-wardrobe","REDHILL MRT 6 mins  EW18 540m, TIONG BAHRU MRT 13 mins  EW17 1.06 km, ORCHARD BOULEVARD MRT DUE 2021 14 mins  TE13 1.13 km","Opp Delta Sports Hall 2 mins  51970186139122 160m, Delta Sports Hall 2 mins  12213918651970 200m","Alexandra Primary 420m, Gan Eng Seng Primary 960m, Zhangde Primary 1.14 km","Crescent Girls' 330m, Gan Eng Seng 550m, Queenstown Secondary 810m","VALLEY POINT SHOPPING CENTRE 730m, Valley Point 730m, DAWSON PLACE 1.05 km",Partially Furnished,NA,NA,103.8204034,1.2926928
