address,bath,bed,built_year,developer,district,last_updated,name,nearest_mrt_name,neighbourhood,price/sqft,property_type,rental,sqft,tenure,title,total_units,travel_time_changi,travel_time_orchard,travel_time_raffles,unit_types,no._of_bedrooms,furnishing,floor_level,overlooking_view,facing
16 Enggor Street,1 Bath,1 Bed,2014.0,Bishan Properties Pte Ltd,Chinatown / Tanjong Pagar (D2),3 days ago,Altez,Tanjong Pagar MRT,None,$7.97 psf,Condo Whole Unit,"$4,800/mo",602 sqft,99 Years,1 Bed Condo for Rent in Altez,280.0,58 min,22 min,10 min,"Studio, 1, 2, 3, 4 BR",,,,,
21 Choa Chu Kang North 6,2 Baths,3 Beds,,,Bukit Batok / Bukit Panjang / Choa Chu Kang (D23),11 days ago,Yewtee Point,3-bedroom for rent,Choa Chu Kang,$3.8 psf,Apartment Whole Unit,"$4,500/mo","1,184 sqft",-,3 Bed Condo for Rent in Yewtee Point,,,,,3 BR,,,,,
2 Marina Boulevard,2 Baths,2 Beds,2008.0,"City Developments Ltd,AIG Global Real Estate",Boat Quay / Raffles Place / Marina (D1),16 days ago,The Sail @ Marina Bay,Downtown MRT,None,$8.33 psf,Apartment Whole Unit,"$7,800/mo",936 sqft,99 Years,2 Bed Condo for Rent in The Sail @ Marina Bay,1111.0,50 min,24 min,6 min,"Studio, 1, 2, 3, 4, 5, 10 BR",,,,,
,5 Baths,4 Beds,,,Newton / Novena (D11),6 hrs ago,,4-bedroom for rent,,$2.44 psf,Bungalow,"$17,999/mo","3,500 sqft (built-up) / 7,390 sqft (land)",,4 Bed House for Rent in Kheam Hock Road,,,,,,,,,,
,2 Baths,3 Beds,1977.0,,Chinatown / Tanjong Pagar (D2),3 days ago,2 Tanjong Pagar Plaza,Tanjong Pagar MRT,None,$6.63 psf,HDB 3 Rooms,"$5,000/mo",754 sqft,,HDB Flat for Rent in 2 Tanjong Pagar Plaza,201.0,59 min,23 min,11 min,,3.0,,,,
,2 Baths,3 Beds,1986.0,HDB,Boon Lay / Jurong / Tuas (D22),9 days ago,HDB-Jurong East,Jurong East MRT,Jurong East,$3.46 psf,HDB 4 Rooms,"$3,800/mo","1,097 sqft",99 Years,HDB Flat for Rent in 285B Toh Guan Road,,81 min,35 min,39 min,"Studio, 1, 2, 3, 4, 5, 6 BR",3.0,,,,
,1 Bath,1 Bed,1978.0,,Bedok / Upper East Coast (D16),2 days ago,131 Bedok North Avenue 3,Bedok MRT,Bedok,$8 psf,HDB 4 Rooms,"$1,200/mo",150 sqft,,HDB Flat for Rent in 131 Bedok North Avenue 3,151.0,33 min,43 min,35 min,,1.0,Fully,,,
12 Amber Road,2 Baths,3 Beds,2022.0,Aurum Land (Private) Limited,East Coast / Marine Parade (D15),4 days ago,Nyon,Tanjong Katong MRT,Marine Parade,$6.67 psf,Condo Whole Unit,"$6,100/mo",915 sqft,Freehold,3 Bed Condo for Rent in Nyon,92.0,37 min,33 min,30 min,"Studio, 1, 2, 3, 4, 5 BR",,,,,
900 Sims Avenue,2 Baths,2 Beds,2022.0,MCL Land Limited,Eunos / Geylang / Paya Lebar (D14),14 days ago,Parc Esta,Eunos MRT,Geylang,$7.4 psf,Condo Whole Unit,"$5,500/mo",743 sqft,99 Years,2 Bed Condo for Rent in Parc Esta,1399.0,37 min,28 min,20 min,"Studio, 1, 2, 3, 4, 5 BR",,,,,
10 Woodleigh Lane,2 Baths,2 Beds,2021.0,CEL Unique Development Pte. Ltd. (Chip Eng Seng Corp/ Heeton Holdings/ KSH Holdings),Macpherson / Potong Pasir (D13),22 days ago,Park Colonial,Woodleigh MRT,Toa Payoh,$7.95 psf,Condo Whole Unit,"$5,300/mo",667 sqft,99 Years,2 Bed Condo for Rent in Park Colonial,805.0,57 min,24 min,24 min,"1, 2, 3, 4, 5 BR",,,,,
,2 Baths,3 Beds,1986.0,HDB,Boon Lay / Jurong / Tuas (D22),10 hrs ago,HDB-Jurong East,Jurong East MRT,Jurong East,$2.9 psf,HDB Executive,"$4,500/mo","1,550 sqft",99 Years,HDB Flat for Rent in 286A Toh Guan Road,,,,,"Studio, 1, 2, 3, 4, 5, 6 BR",3.0,Partial,High,,
16 Keppel Bay Drive,3 Baths,3 Beds,2004.0,,Harbourfront / Telok Blangah (D4),6 days ago,Caribbean At Keppel Bay,HarbourFront MRT,Bukit Merah,$6.64 psf,Condo Whole Unit,"$9,000/mo","1,356 sqft",99 Years,3 Bed Condo for Rent in Caribbean At Keppel Bay,969.0,69 min,31 min,24 min,"2, 3, 4, 5, 8 BR",,,,,
,2 Baths,3 Beds,1986.0,,Sembawang / Yishun (D27),7 days ago,275 Yishun Street 22,3-bedroom for rent,Yishun,$3.13 psf,HDB 4 Rooms,"$3,500/mo","1,119 sqft",,HDB Flat for Rent in 275 Yishun Street 22,114.0,59 min,42 min,47 min,,3.0,Fully,High,,
2 Indus Road,2 Baths,3 Beds,1993.0,Bukit Merah Gardens Pte Ltd (Far East Organization),Alexandra / Commonwealth (D3),6 days ago,Emerald Park,Tiong Bahru MRT,Bukit Merah,$5.54 psf,Condo Whole Unit,"$6,500/mo","1,174 sqft",99 Years,3 Bed Condo for Rent in Emerald Park,280.0,64 min,19 min,17 min,"1, 2, 3 BR",,,,,
,1 Bath,1 Bed,1995.0,HDB,Pasir Ris / Tampines (D18),2 days ago,HDB-Pasir Ris,Pasir Ris MRT,Pasir Ris,$6.04 psf,HDB 4 Rooms,$900/mo,149 sqft,99 Years,HDB Flat for Rent in 110 Pasir Ris Street 11,,,,,"Studio, 1, 2, 3, 4, 5, 6 BR",1.0,Fully,Mid,,
,4 Baths,6 Beds,,,Seletar / Yio Chu Kang (D28),13 days ago,,6-bedroom for rent,,$3.64 psf,Semi-Detached House,"$20,000/mo","5,500 sqft (built-up)",,6 Bed House for Rent in Seletar Road,,,,,,,,,,
61 Cairnhill Circle,2 Baths,2 Beds,2015.0,,Orchard / River Valley (D9),1 month ago,The Peak @ Cairnhill II,Newton MRT,Newton,$7.74 psf,Condo Whole Unit,"$7,000/mo",904 sqft,Freehold,2 Bed Condo for Rent in The Peak @ Cairnhill II,62.0,58 min,14 min,20 min,"1, 2, 3 BR",,,,,
,1 Bath,2 Beds,1968.0,HDB,Alexandra / Commonwealth (D3),10 days ago,HDB-Queenstown,Queenstown MRT,Queenstown,$4.65 psf,HDB,"$3,000/mo",645 sqft,99 Years,HDB Flat for Rent in 168 Stirling Road,,70 min,28 min,22 min,"Studio, 1, 2, 3, 4, 5, 6 BR",2.0,,,,
38 Amber Road,2 Baths,2 Beds,2008.0,Ho Brothers Investment Pte Ltd,East Coast / Marine Parade (D15),4 days ago,38 Amber,2-bedroom for rent,Marine Parade,$5.04 psf,Condo Whole Unit,"$4,500/mo",893 sqft,Freehold,2 Bed Condo for Rent in 38 Amber,29.0,34 min,33 min,29 min,"2, 3 BR",,Partial,High,,
65 Lloyd Road,2 Baths,2 Beds,2017.0,Tg (2010) Pte Ltd,Orchard / River Valley (D9),1 day ago,Lloyd Sixtyfive,Somerset MRT,River Valley,$5.42 psf,Condo Whole Unit,"$9,800/mo","1,808 sqft",Freehold,2 Bed Condo for Rent in Lloyd Sixtyfive,76.0,56 min,12 min,14 min,"1, 2, 3, 4, 5 BR",,Partial,Mid,,
28 Simei Street 1,2 Baths,2 Beds,1996.0,Melville Park Development Pte Ltd (First Capital Corporation),Pasir Ris / Tampines (D18),10 days ago,Melville Park,Simei MRT,Tampines,$4 psf,Condo Whole Unit,"$4,000/mo","1,001 sqft",99 Years,2 Bed Condo for Rent in Melville Park,1232.0,35 min,49 min,41 min,"2, 3, 4 BR",,Fully,,,
39 Chancery Lane,4 Baths,5 Beds,1986.0,,Newton / Novena (D11),18 days ago,Villa Chancery,Novena MRT,Novena,$4.57 psf,Condo Whole Unit,"$12,800/mo","2,800 sqft",Freehold,5 Bed Condo for Rent in Villa Chancery,26.0,64 min,20 min,27 min,"3, 5 BR",,,,,
904 Sims Avenue,2 Baths,3 Beds,2022.0,MCL Land Limited,Eunos / Geylang / Paya Lebar (D14),16 days ago,Parc Esta,Eunos MRT,Geylang,$7.02 psf,Condo Whole Unit,"$6,500/mo",926 sqft,99 Years,3 Bed Condo for Rent in Parc Esta,1399.0,37 min,28 min,20 min,"Studio, 1, 2, 3, 4, 5 BR",,,,,
7 Kim Tian Road,1 Bath,1 Bed,2018.0,Harvestland Developement Pte Ltd (Keppel Land),Alexandra / Commonwealth (D3),5 days ago,Highline Residences,Tiong Bahru MRT,Bukit Merah,$8.89 psf,Condo Whole Unit,"$4,500/mo",506 sqft,99 Years,1 Bed Condo for Rent in Highline Residences,500.0,63 min,24 min,15 min,"Studio, 1, 2, 3, 4 BR",,Fully,,,
90 Punggol Central,2 Baths,2 Beds,2016.0,Wee Hur Holdings,Hougang / Punggol / Sengkang (D19),7 days ago,Parc Centros,Punggol MRT,Punggol,$5.21 psf,Condo Whole Unit,"$3,980/mo",764 sqft,99 Years,2 Bed Condo for Rent in Parc Centros,618.0,44 min,37 min,37 min,"1, 2, 3, 4, 6 BR",,Partial,,Pool view,
138 Hillview Avenue,3 Baths,3 Beds,2003.0,Jys Development Pte Ltd,Bukit Batok / Bukit Panjang / Choa Chu Kang (D23),9 days ago,Hillview Residence,3-bedroom for rent,Bukit Batok,$3.69 psf,Condo Whole Unit,"$4,800/mo","1,300 sqft",999 Years,3 Bed Condo for Rent in Hillview Residence,98.0,83 min,43 min,48 min,3 BR,,Fully,,,
900 Sims Avenue,3 Baths,4 Beds,2022.0,MCL Land Limited,Eunos / Geylang / Paya Lebar (D14),16 days ago,Parc Esta,Eunos MRT,Geylang,$7.74 psf,Condo Whole Unit,"$9,500/mo","1,227 sqft",99 Years,4 Bed Condo for Rent in Parc Esta,1399.0,37 min,28 min,20 min,"Studio, 1, 2, 3, 4, 5 BR",,,,,
Treasure Island,4 Baths,7 Beds,2010.0,Ho Bee (Sentosa) Pte Ltd,Harbourfront / Telok Blangah (D4),14 days ago,Sentosa Cove,7-bedroom for rent,None,$3.91 psf,Bungalow,"$45,000/mo","11,500 sqft (built-up)",103 Years,7 Bed House for Rent in Sentosa Cove,,,,,"2, 3, 4, 5, 6, 7, 8, 10 BR",,,,,
17 Lorong Kilat,2 Baths,4 Beds,1999.0,,Clementi Park / Upper Bukit Timah (D21),1 month ago,Kilat Court,Beauty World MRT,Bukit Timah,$3.27 psf,Condo Whole Unit,"$5,888/mo","1,800 sqft",Freehold,4 Bed Condo for Rent in Kilat Court,18.0,65 min,25 min,31 min,4 BR,,Partial,Low,City view,
9 Kim Tian Road,1 Bath,1 Bed,2018.0,Harvestland Developement Pte Ltd (Keppel Land),Alexandra / Commonwealth (D3),1 month ago,Highline Residences,Tiong Bahru MRT,Bukit Merah,$8.89 psf,Condo Whole Unit,"$4,500/mo",506 sqft,99 Years,1 Bed Condo for Rent in Highline Residences,500.0,63 min,24 min,15 min,"Studio, 1, 2, 3, 4 BR",,Fully,Low,,
101 West Coast Vale,1 Bath,1 Bed,2020.0,EL Development,Buona Vista / West Coast / Clementi (D5),3 days ago,Parc Riviera,1-bedroom for rent,Clementi,$6.91 psf,Condo Whole Unit,"$3,200/mo",463 sqft,99 Years,1 Bed Condo for Rent in Parc Riviera,752.0,84 min,41 min,36 min,"1, 2, 3, 4 BR",,,,,
Lorong Marzuki,5 Baths,5 Beds,,,Eunos / Geylang / Paya Lebar (D14),10 days ago,Kembangan Estate,Kembangan MRT,Bedok,$5.93 psf,Semi-Detached House,"$14,800/mo","5,069 sqft (built-up) / 2,496 sqft (land)",Freehold,5 Bed House for Rent in Kembangan Estate,,39 min,35 min,27 min,"Studio, 2, 3, 4, 5, 6, 7, 8, 10 BR",,,,,
222 Jalan Eunos,1 Bath,1 Bed,2016.0,Transurban Properties Pte Ltd And Oph Marymount Ltd,Eunos / Geylang / Paya Lebar (D14),11 days ago,Euhabitat,Kembangan MRT,Bedok,$6.02 psf,Condo Whole Unit,"$3,500/mo",581 sqft,99 Years,1 Bed Condo for Rent in Euhabitat,748.0,49 min,32 min,29 min,"Studio, 1, 2, 3, 4, 5 BR",,,,,
,2 Baths,3 Beds,1987.0,,Sembawang / Yishun (D27),17 days ago,662 Yishun Avenue 4,Khatib MRT,Yishun,$3.87 psf,HDB,"$3,500/mo",904 sqft,,HDB Flat for Rent in 662 Yishun Avenue 4,134.0,59 min,44 min,49 min,,3.0,,,,
21 Pasir Ris Grove,3 Baths,3 Beds,2019.0,,Pasir Ris / Tampines (D18),7 days ago,Coco Palms,Pasir Ris MRT,Pasir Ris,$5.86 psf,Condo Whole Unit,"$5,300/mo",904 sqft,99 Years,3 Bed Condo for Rent in Coco Palms,944.0,29 min,45 min,37 min,"Studio, 1, 2, 3, 4, 5, 6 BR",,,,,
136 Hillview Avenue,3 Baths,3 Beds,1999.0,Ccl Properties (Hillview) Pte Ltd,Bukit Batok / Bukit Panjang / Choa Chu Kang (D23),7 days ago,Merawoods,Bukit Gombak MRT,Bukit Batok,$4.09 psf,Condo Whole Unit,"$5,500/mo","1,346 sqft",999 Years,3 Bed Condo for Rent in Merawoods,305.0,,,,"2, 3, 4 BR",,,,,
128 Meyer Road,5 Baths,4 Beds,2022.0,Secure Venture Development (No. 1) Pte. Ltd. (UOL Group/ Kheng Leong Company),East Coast / Marine Parade (D15),17 days ago,MeyerHouse,4-bedroom for rent,Marine Parade,$9.68 psf,Condo Whole Unit,"$29,800/mo","3,078 sqft",Freehold,4 Bed Condo for Rent in MeyerHouse,56.0,41 min,35 min,28 min,"Studio, 3, 4, 5, 6 BR",,,,,
581A Upper Changi Road,3 Baths,4 Beds,,,Bedok / Upper East Coast (D16),2 hrs ago,Apollo Gardens,Expo MRT,Tampines,$3.26 psf,Walk-up Whole Unit,"$6,000/mo","1,840 sqft",-,4 Bed Condo for Rent in Apollo Gardens,,26 min,47 min,39 min,"1, 3, 4, 5 BR",,Fully,High,Greenery view,
900 Sims Avenue,1 Bath,Studio,2022.0,MCL Land Limited,Eunos / Geylang / Paya Lebar (D14),14 days ago,Parc Esta,Eunos MRT,Geylang,$8.1 psf,Condo Whole Unit,"$3,400/mo",420 sqft,99 Years,Studio Condo for Rent in Parc Esta,1399.0,37 min,28 min,20 min,"Studio, 1, 2, 3, 4, 5 BR",,,,,
7 Leedon Heights,3 Baths,4 Beds,2015.0,,Tanglin / Holland (D10),10 days ago,D'leedon,Farrer Road MRT,Bukit Timah,$6.35 psf,Condo Whole Unit,"$12,000/mo","1,890 sqft",99 Years,4 Bed Condo for Rent in D'leedon,1723.0,70 min,23 min,34 min,"Studio, 1, 2, 3, 4, 5, 6 BR",,,,,
,1 Bath,3 Beds,1974.0,HDB,Tanglin / Holland (D10),5 days ago,Farrer Gardens,Farrer Road MRT,Tanglin,$3.88 psf,HDB,"$3,800/mo",980 sqft,99 Years,HDB Flat for Rent in 6 Farrer Road,,62 min,22 min,26 min,"Studio, 2, 3, 4, 5 BR",3.0,,,,
Mayflower Place,5 Baths,7 Beds,1997.0,,Ang Mo Kio / Bishan / Thomson (D20),10 days ago,Mayflower Gardens,7-bedroom for rent,Ang Mo Kio,$2.62 psf,Semi-Detached House,"$9,000/mo","4,500 sqft (built-up) / 3,440 sqft (land)",Freehold,7 Bed House for Rent in Mayflower Gardens,,67 min,31 min,37 min,"4, 6, 7, 8, 10 BR",,Partial,,,
,1 Bath,1 Bed,1985.0,HDB,Bukit Batok / Bukit Panjang / Choa Chu Kang (D23),11 days ago,HDB-Bukit Batok,Bukit Gombak MRT,Bukit Batok,$6 psf,HDB,$900/mo,150 sqft,99 Years,HDB Flat for Rent in 420 Bukit Batok West Avenue 2,,86 min,39 min,50 min,"Studio, 1, 2, 3, 4, 5, 6 BR",1.0,,,,
33 Miltonia Close,4 Baths,3 Beds,2016.0,Tg Master Pte Ltd,Sembawang / Yishun (D27),2 hrs ago,Skies Miltonia,3-bedroom for rent,Yishun,$3.14 psf,Condo Whole Unit,"$8,000/mo","2,550 sqft",99 Years,3 Bed Condo for Rent in Skies Miltonia,410.0,60 min,46 min,51 min,"1, 2, 3, 4, 5 BR",,Partial,Penthouse,,
Coral Island,7 Baths,7 Beds,2007.0,Ho Bee (Sentosa) Pte Ltd,Harbourfront / Telok Blangah (D4),3 days ago,Coral Island,7-bedroom for rent,None,$5.21 psf,Bungalow,"$70,000/mo","14,747 sqft (built-up) / 13,433 sqft (land)",99 Years,7 Bed House for Rent in Coral Island,21.0,104 min,65 min,59 min,"4, 5, 6, 7 BR",,,,,
10 Woodleigh Lane,2 Baths,2 Beds,2021.0,CEL Unique Development Pte. Ltd. (Chip Eng Seng Corp/ Heeton Holdings/ KSH Holdings),Macpherson / Potong Pasir (D13),1 hr ago,Park Colonial,Woodleigh MRT,Toa Payoh,$8.35 psf,Condo Whole Unit,"$5,300/mo",635 sqft,99 Years,2 Bed Condo for Rent in Park Colonial,805.0,57 min,24 min,24 min,"1, 2, 3, 4, 5 BR",,Partial,,,North
906 Sims Avenue,3 Baths,4 Beds,2022.0,MCL Land Limited,Eunos / Geylang / Paya Lebar (D14),18 days ago,Parc Esta,Eunos MRT,Geylang,$6.52 psf,Condo Whole Unit,"$8,000/mo","1,227 sqft",99 Years,4 Bed Condo for Rent in Parc Esta,1399.0,37 min,28 min,20 min,"Studio, 1, 2, 3, 4, 5 BR",,,,,
100 Holland Road,1 Bath,1 Bed,2011.0,Crystalvale Pte Ltd,Tanglin / Holland (D10),4 days ago,Holland 100,Holland Village MRT,Bukit Timah,$7.74 psf,Apartment Whole Unit,"$6,500/mo",840 sqft,Freehold,1 Bed Condo for Rent in Holland 100,24.0,65 min,19 min,28 min,"1, 2, 3 BR",,,,,
11 Stamford Road,5 Baths,3 Beds,2015.0,,City Hall / Clarke Quay (D6),22 days ago,Eden Residences Capitol,City Hall MRT,None,$9.18 psf,Condo Whole Unit,"$25,000/mo","2,723 sqft",99 Years,3 Bed Condo for Rent in Eden Residences Capitol,39.0,51 min,13 min,8 min,"Studio, 3, 4, 5, 6, 7 BR",,,,,
,6 Baths,5 Beds,,,Clementi Park / Upper Bukit Timah (D21),1 month ago,,5-bedroom for rent,,$7.14 psf,Bungalow,"$60,000/mo","8,399 sqft (built-up)",,5 Bed House for Rent in King Albert Park,,,,,,,,,,
101 Hillview Rise,1 Bath,1 Bed,2016.0,Kingsford Development Pte Ltd,Bukit Batok / Bukit Panjang / Choa Chu Kang (D23),6 days ago,Kingsford . Hillview Peak,Hillview MRT,Bukit Batok,$5.69 psf,Condo Whole Unit,"$2,999/mo",527 sqft,99 Years,1 Bed Condo for Rent in Kingsford . Hillview Peak,512.0,73 min,33 min,39 min,"1, 2, 3, 4 BR",,,,,
77 Upper East Coast Road,1 Bath,1 Bed,2022.0,KDC (77) Development Pte. Ltd. (KTC Group),East Coast / Marine Parade (D15),6 days ago,77 @ East Coast,Siglap MRT,Bedok,$6.32 psf,Apartment Whole Unit,"$3,200/mo",506 sqft,Freehold,1 Bed Condo for Rent in 77 @ East Coast,41.0,40 min,43 min,36 min,"1, 2, 3, 4, 5 BR",,,,,
Jalan Nipah,6 Baths,5 Beds,1993.0,Ho Lee Investment Pte Ltd (Far East Organization),Bedok / Upper East Coast (D16),1 month ago,Bedok Ria,Tanah Merah MRT,Bedok,$3.86 psf,Semi-Detached House,"$13,500/mo","5,570 sqft (built-up) / 3,500 sqft (land)",Freehold,5 Bed House for Rent in Bedok Ria,178.0,30 min,46 min,38 min,"2, 3, 4, 5, 6, 7 BR",,Partial,,,
196 Tembeling Road,1 Bath,Studio,1990.0,,East Coast / Marine Parade (D15),4 days ago,Tembeling Lodge,studio for rent,Marine Parade,$10.4 psf,Apartment Whole Unit,"$2,600/mo",250 sqft,Freehold,Studio Condo for Rent in Tembeling Lodge,2.0,43 min,33 min,31 min,Studio,,,,,
145 Killiney Road,2 Baths,2 Beds,2014.0,Unique Development Pte. Ltd.,Orchard / River Valley (D9),12 days ago,The Boutiq,Somerset MRT,River Valley,$6.8 psf,Condo Whole Unit,"$6,000/mo",883 sqft,Freehold,2 Bed Condo for Rent in The Boutiq,130.0,57 min,13 min,15 min,"1, 2 BR",,,,,
329 Thomson Road,2 Baths,2 Beds,2005.0,Ho Bee Investment Ltd,Newton / Novena (D11),8 days ago,Amaninda,Novena MRT,Novena,$4.64 psf,Condo Whole Unit,"$4,900/mo","1,055 sqft",Freehold,2 Bed Condo for Rent in Amaninda,70.0,,,,"1, 2, 3 BR",,,,,
14 Taman Nakhoda,5 Baths,3 Beds,1982.0,Nakhoda Development Pte Ltd,Tanglin / Holland (D10),9 days ago,Villa Delle Rose,Farrer Road MRT,Tanglin,$3.93 psf,Walk-up Whole Unit,"$11,000/mo","2,800 sqft",Freehold,3 Bed Condo for Rent in Villa Delle Rose,104.0,66 min,17 min,29 min,"3, 4 BR",,,,,
7 Kim Tian Road,1 Bath,1 Bed,2018.0,Harvestland Developement Pte Ltd (Keppel Land),Alexandra / Commonwealth (D3),4 days ago,Highline Residences,Tiong Bahru MRT,Bukit Merah,$9.49 psf,Condo Whole Unit,"$4,800/mo",506 sqft,99 Years,1 Bed Condo for Rent in Highline Residences,500.0,63 min,24 min,15 min,"Studio, 1, 2, 3, 4 BR",,,,,
74 Sengkang Square,3 Baths,3 Beds,2017.0,El Development (Sengkang) Pte Ltd,Hougang / Punggol / Sengkang (D19),1 day ago,La Fiesta,Sengkang MRT,Sengkang,$4.5 psf,Condo Whole Unit,"$4,500/mo","1,001 sqft",99 Years,3 Bed Condo for Rent in La Fiesta,810.0,41 min,36 min,35 min,"Studio, 1, 2, 3, 4, 5 BR",,,,,
5 Mount Emily Road,3 Baths,3 Beds,2008.0,City Developments Ltd,Orchard / River Valley (D9),6 days ago,Parc Emily,Little India MRT,None,$5.58 psf,Condo Whole Unit,"$7,800/mo","1,399 sqft",Freehold,3 Bed Condo for Rent in Parc Emily,295.0,53 min,21 min,18 min,"Studio, 1, 2, 3, 5 BR",,,,,
12 Shunfu Road,2 Baths,3 Beds,2023.0,Qingjian Realty (Marymount) Pte Ltd,Ang Mo Kio / Bishan / Thomson (D20),21 hrs ago,JadeScape,Marymount MRT,Bishan,$6.64 psf,Condo Whole Unit,"$6,000/mo",904 sqft,99 Years,3 Bed Condo for Rent in JadeScape,1206.0,,,,"1, 2, 3, 4, 5 BR",,Fully,High,,
178 Jalan Eunos,2 Baths,2 Beds,2020.0,Roxy-Pacific Holdings,Eunos / Geylang / Paya Lebar (D14),2 days ago,The Navian,Eunos MRT,Bedok,$5.86 psf,Condo Whole Unit,"$5,300/mo",904 sqft,Freehold,2 Bed Condo for Rent in The Navian,48.0,46 min,30 min,28 min,"Studio, 2, 3, 4 BR",,Partial,High,,
11 Pasir Ris Link,1 Bath,1 Bed,2014.0,"Precious Sand Pte Ltd (Far East Organization,Frasers Centrepoint Homes)",Pasir Ris / Tampines (D18),4 days ago,Seastrand,1-bedroom for rent,Pasir Ris,$5.07 psf,Condo Whole Unit,"$2,999/mo",592 sqft,99 Years,1 Bed Condo for Rent in Seastrand,472.0,36 min,56 min,48 min,"Studio, 1, 2, 3, 4 BR",,,,,
246 Telok Kurau Road,1 Bath,1 Bed,2021.0,Grow99 Pte Ltd,East Coast / Marine Parade (D15),20 mins ago,Residence Twenty-Two,Marine Terrace MRT,Bedok,$7.27 psf,Condo Whole Unit,"$3,600/mo",495 sqft,Freehold,1 Bed Condo for Rent in Residence Twenty-Two,22.0,42 min,40 min,33 min,"1, 2, 3, 4 BR",,Partial,Low,,
,2 Baths,3 Beds,2017.0,HDB,Sembawang / Yishun (D27),19 days ago,Eastcrown @ Canberra,3-bedroom for rent,Sembawang,$3.85 psf,HDB 4 Rooms,"$3,850/mo","1,001 sqft",99 Years,HDB Flat for Rent in 129B Canberra Street,,63 min,47 min,52 min,"1, 2, 3 BR",3.0,Fully,Low,,
26 Newton Road,2 Baths,2 Beds,2016.0,Novelty Corp Pte Ltd,Newton / Novena (D11),11 days ago,26 Newton,Newton MRT,Novena,$7 psf,Condo Whole Unit,"$7,833/mo","1,119 sqft",Freehold,2 Bed Condo for Rent in 26 Newton,180.0,59 min,14 min,20 min,"Studio, 1, 2, 3 BR",,,,,
404 Dunearn Road,1 Bath,Studio,2012.0,World Class Property (Dunearn) Pte Ltd,Newton / Novena (D11),11 days ago,Dunearn Suites,Tan Kah Kee MRT,Bukit Timah,$8.57 psf,Condo Whole Unit,"$3,600/mo",420 sqft,Freehold,Studio Condo for Rent in Dunearn Suites,26.0,63 min,23 min,28 min,"Studio, 1 BR",,Fully,Low,,North West
230 Commonwealth Avenue,1 Bath,1 Bed,2019.0,"Wealthall Developments Pte. Ltd.,Hong Leong Holdings Ltd",Alexandra / Commonwealth (D3),11 days ago,Commonwealth Towers,Queenstown MRT,Queenstown,$9.07 psf,Condo Whole Unit,"$4,000/mo",441 sqft,99 Years,1 Bed Condo for Rent in Commonwealth Towers,845.0,63 min,25 min,16 min,"1, 2, 3, 4, 5 BR",,,,,
,2 Baths,3 Beds,1995.0,HDB,Pasir Ris / Tampines (D18),16 days ago,HDB-Pasir Ris,3-bedroom for rent,Pasir Ris,$2.87 psf,HDB,"$4,400/mo","1,532 sqft",99 Years,HDB Flat for Rent in 203 Pasir Ris Street 21,,25 min,49 min,47 min,"Studio, 1, 2, 3, 4, 5, 6 BR",3.0,,,,
100 Holland Road,4 Baths,3 Beds,2011.0,Crystalvale Pte Ltd,Tanglin / Holland (D10),4 days ago,Holland 100,Holland Village MRT,Bukit Timah,$3.28 psf,Apartment Whole Unit,"$12,000/mo","3,660 sqft",Freehold,3 Bed Condo for Rent in Holland 100,24.0,65 min,19 min,28 min,"1, 2, 3 BR",,,,,
Treasure Island,4 Baths,4 Beds,2010.0,Ho Bee (Sentosa) Pte Ltd,Harbourfront / Telok Blangah (D4),11 days ago,Sentosa Cove,4-bedroom for rent,None,$9.09 psf,Bungalow,"$80,000/mo","8,800 sqft (built-up)",103 Years,4 Bed House for Rent in Sentosa Cove,,104 min,63 min,57 min,"2, 3, 4, 5, 6, 7, 8, 10 BR",,Partial,,,
2 Gilstead Road,2 Baths,2 Beds,2014.0,Chedstone Investment Holdings Pte Ltd,Newton / Novena (D11),10 days ago,Gilstead Two,Newton MRT,Novena,$7.19 psf,Apartment Whole Unit,"$6,500/mo",904 sqft,Freehold,2 Bed Condo for Rent in Gilstead Two,110.0,55 min,12 min,17 min,"2, 3, 4 BR",,,,,
2 Marina Boulevard,3 Baths,4 Beds,2008.0,"City Developments Ltd,AIG Global Real Estate",Boat Quay / Raffles Place / Marina (D1),4 days ago,The Sail @ Marina Bay,Downtown MRT,None,$6.27 psf,Condo Whole Unit,"$13,800/mo","2,200 sqft",99 Years,4 Bed Condo for Rent in The Sail @ Marina Bay,1111.0,50 min,24 min,6 min,"Studio, 1, 2, 3, 4, 5, 10 BR",,Partial,High,,
,2 Baths,3 Beds,2013.0,HDB,Hougang / Punggol / Sengkang (D19),5 days ago,Punggol Sapphire,Soo Teck MRT,Punggol,$3.89 psf,HDB 3 Rooms,"$4,000/mo","1,028 sqft",99 Years,HDB Flat for Rent in 269B Punggol Field,,43 min,43 min,42 min,"2, 3, 4 BR",3.0,,,,
1 Woodlands Drive 72,3 Baths,3 Beds,2000.0,,Admiralty / Woodlands (D25),4 days ago,Woodsvale,Admiralty MRT,Woodlands,$3.5 psf,Condo Whole Unit,"$4,600/mo","1,313 sqft",99 Years,3 Bed Condo for Rent in Woodsvale,696.0,62 min,42 min,48 min,"1, 3, 4 BR",,,,,
